Agency Acronym,Agency Name,Entity type,MMR chapter,Rulemaking Entity,Agency Head First Name,Agency Head Last Name,Agency Contacts,Reports to Deputy Mayor/Executive,Executive Name (from Deputy Mayor/Executive),BC Description,Board/Commission Qualification,BC Source of Authority,Legal Source Link,Agency/Board Website,BC Type,COS Note,Legal Source,Executive Structure,Executive Structure Detail,Mayoral Agency?,Advisory Board?,Legal Source Notes,Charter and Statute,Rules and Regs,Year created,Sources Available (from MO101) copy 2,Core Mission
SAC,Senior Advisory Council,Board/Commission,,,,,,DM Health & Human Services,Anne Williams-Isom,The Senior Advisory Council makes recommendations to and advises the Commissioner of the Department for the Aging.  It submits an annual report of its activities to the Mayor.,,City Charter Section 2403,https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-5823,https://www1.nyc.gov/site/dfta/about/advisory-council.page,MC,,"Charter Chapter 66, Section 2403","""Single Agency Head (commissioner, exec director, administrator)"",Multi-member Commission","The advisory council within DFTA consists of thirty-one members who are appointed by the mayor. Also,  at least sixteen of whom shall be recipients of services rendered to older adults.",Yes,Yes,,,Advisory Council By-laws.docx (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/rG38AnWMFQXFTB2KSlCiaA/ajSdwmUVSHIc6fOXWggxIsWohPtOo9VRKMT6U78B-K7xCDYBHPPONHqkCzavGXUkB37X2oYtDIyuldwf_vBQiHUQvghZzaLslda8ai3LVk_o-sKrUOATV2-ajgNEZ7sJdFWFsJpchLXQ5XvsfwNNhH62HbsIwwFbHpHscufSeO0/owHM7QHzDY-qm690hI3jNyZpr-8zwMAoKP7v4eLT620),,,
SANDYTF,Hurricane Sandy Charitable Organizations and Houses of Worship Recovery Taskforce,Board/Commission,,,,,,,,,,,https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCadmin/0-0-0-124585,,,,"Ad Code Appendix A, LL 2015/018","""Single Agency Head (commissioner, exec director, administrator)"",Multi-member Commission",The taskforce consists of 19 members. ,No,No,,,,,,
SBAC,Small Business Advisory Commission,Board/Commission,,,,,,DM Housing - Economic Development & Workforce,Maria Torres-Springer,"The Small Business Advisory Commission is comprised of a diverse group of small business professionals and leaders, whose purpose is to advise the mayor on initiatives and methods to improve the business and regulatory environment for small businesses in New York City.",,Executive Order 15,,,MC,,,,The Commissioner of Small Business Services shall be the chairperson of the Commission.,,,,,,,,
SCA,School Construction Authority - Board of Trustees,Board/Commission,,,,,,DM Operations,Meera Joshi,"An independent Authority created by the State Legislature in 1988, responsible for the design, construction, modernization and rehabilitation of public schools in New York City.",,New York State Public Authorities Law - § 1727  ,,,,,,,,,,,,1727 - New York city school construction authority_ __ 2010 New York Code __ US Codes and Statutes __ US Law __ Justia.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/NlXF1YHcgMPlMmjb6S3v3Q/Lx6bKJkyMXz1vHzkbZL3hIhz0Z2YuwnrTfK-YMkCnAr_qhOPDh7IgcVgIE_qEyxXz4_mUeer24K3qenPdjM3a2FQ1ihUC0gQb4thMd3WutDsHdl0hrjojpoOrI1MMJ_PxN3NxG19rZUCZ4vfR0flmTeO9WSXl-qzE8iFj5q2NUJx3zPbdqwqDb1Ec6L17kzHEVVu-Sa4LgE1ZGv7bCQYTe8ywNxc6SPQ2jhLz7HUnAuR3mUmHyRHhvsGgg3c4xLY/8M3xZCxu3xZSLbQ6xGl9qRCgkbEKpZbOIYIuuFaVC7c),,,
SCINYCSD,Special Commissioner of Investigation for the NYC School District,Board/Commission,,,,,,,,,,,https://nycsci.org/wp-content/uploads/2018/History/Executive-Order113415.pdf,https://nycsci.org/,,,EO 11 1990,"""Single Agency Head (commissioner, exec director, administrator)""",This commissioner is appointed by the DOI. ,No,No,,,,,,
SFPBCC,State Fire Prevention and Building Code Council,Board/Commission,,,,,,DM Operations,Meera Joshi,"Empowered to maintain and periodically update the Uniform Fire Prevention and Building Code and State Energy Conservation Construction Code, and to adopt higher or more restrictive local standards upon the recommendation of local governments.",,Local Law 151 signed 8/30/17,"https://newyork.public.law/laws/n.y._executive_law_section_374#:~:text=New%20York%20Executive%20Law%20Sec.%20374,State%20Fire%20Prevention%20and%20Building%20Code%20Council",https://dos.ny.gov/state-fire-prevention-and-building-code-council/,MC,,"New York Executive Law, Section 374","""Single Agency Head (commissioner, exec director, administrator)""",This council is at the state level and consists of 17 members.,No,No,,,,,,
SHETF,Sexual Health Education Task Force,Board/Commission,,,,,,DM Strategic Initiatives,Ana Almanzar,Review information provided by the DOE and other stakeholders regarding the sexual health education curricula currently recommended by the department and review the implementation of sexual health education for students.,,Section 21-973 of the New York City Administrative Code (Local Law 90 of 2017),https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCadmin/0-0-0-130029,https://www1.nyc.gov/site/genderequity/health/sexual-health-ed-task-force.page,MC,,"Ad Code, Title 21-A, Chapter 11","""Single Agency Head (commissioner, exec director, administrator)""",,Yes,No,,,Local Law 90 of 2017.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/5-IbL9JlfcXPaN3ftXs2Pg/FtnbPKhCT7Kww8rFICqlB-5t3D3R1B5z_0iMWDlTnjVovPrw-uYByrk-aJhvD6iJ2TiOmlb6h2QhumvEeg0fdjV2oyfZrNp7xpJ7Jhex9bqBiZEAZgHGrpKCYOAYFJcc8gU2dwoTeuCSxuLNuE8jGw/YQDLL4Kj_ypd-nqZFmZIZHZJsTWG62IXd8UmJHnFGxs),,,
SHPAB,Street Harassment Prevention Advisory Board,Board/Commission,,,,,,DM Health & Human Services,Anne Williams-Isom,An advisory board to advise the mayor and the council on the issue of street harassment and its prevention.,,Int 2246-2021-A  ,https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCadmin/0-0-0-137392,,,,"Ad Code, Title 10, Chapter 1, § 10-183 , ","""Single Agency Head (commissioner, exec director, administrator)""",,No,Yes,,,Int. No. 2424-B.docx (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/E371dD1rlZof4HF-0wpacw/cIDYhMmqi9Qu84yn_FrvV0QLlKl4K_C4gGsVymbdY5M1rZSgtzJjP0OiG08rjOMIvHy6JtKv1_BZFlHsCHAV6wIzymtquz1iVO58BdobkuVNRoMs5J-bOEEKl5N_qbW0vZBKlEpz3Rn4b8fOeGLhLA/5H1YPeSEh0l_AMZW9NWB9nXbYCcN3r8qf58K1BTL_Ek),,,
SICM,CIG - Staten Island Children’s Museum,Board/Commission,,,,,,DM Housing - Economic Development & Workforce,Maria Torres-Springer,,,,,https://www.sichildrensmuseum.org/staff-and-board-listings/,MC,,This institution is a CIG. Have not found its certificate of incorporation.,"""Single Agency Head (commissioner, exec director, administrator)"",Multi-member Commission",The museum is run by a board of directors headed by a president ,No,No,,,,,,
SIHS,CIG - Staten Island Historical Society,Board/Commission,,,,,,DM Housing - Economic Development & Workforce,Maria Torres-Springer,,,,,https://www.historicrichmondtown.org/boardofdirectors,MC,,This institution is a CIG. Have not found its certificate of incorporation.,"""Single Agency Head (commissioner, exec director, administrator)""",,No,No,,,,,,
SIIAS,CIG - Staten Island Museum (also known as SIIAS),Board/Commission,,,,,,DM Housing - Economic Development & Workforce,Maria Torres-Springer,,,,,https://www.statenislandmuseum.org/about/staff-and-trustees/,MC,,This institution is a CIG. Have not found its certificate of incorporation.,"""Single Agency Head (commissioner, exec director, administrator)""",,No,No,,,,,,
SIZOOSOC,CIG - Staten Island Zoological Society,Board/Commission,,,,,,DM Housing - Economic Development & Workforce,Maria Torres-Springer,,,,,https://www.nycgovparks.org/about/history/zoos/staten-island-zoo ,MC,,,,,No,No,"They were incorporated in July 31st, 1934. Cannot find the document. ",,,,,
SNUG,CIG - Snug Harbor Cultural Center & Botanical Garden (SHCC),Board/Commission,,,,,,DM Housing - Economic Development & Workforce,Maria Torres-Springer,,,,,https://snug-harbor.org/staff-board/,MC,,,"""Single Agency Head (commissioner, exec director, administrator)"",Multi-member Commission",Snug Harbor is run by a President and CEO and a Board of Directors ,No,No,Snug Harbor is a 501(c)(3) non-profit organization. We have not been able to find its certificate of incorporation.,,,,,
SSTTF,Site Safety Training Task Force,Board/Commission,,,,,,DM Operations,Meera Joshi,Provides recocommendations realating to training required by section 3321 fo the New York city building code and establishes a mechanism for receiving and reviewing recommendations from the public relating to training required by section 3321.,,Title 28 Ch 1 Article 102 § 28-103.28 Local Law 196 of 2017,https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCadmin/0-0-0-63389,,MC,,"Ad Code, Title 28, Chapter 1, Article 103, § 28-103.28","""Single Agency Head (commissioner, exec director, administrator)""",,No,No,,,,,,
SVAB,Street Vendor Advisory Board,Board/Commission,,,,,,DM Housing - Economic Development & Workforce,Maria Torres-Springer,"The board shall review and evaluate all state and local laws and rules related to street vendors, including placement 
restrictions such as the minimum distance of 20 feet from any building entrance or exit, and the process for obtaining a 
street vendor license or permit pursuant to titles 17 and 20 of the administrative code of the city of New York.
Such review shall also include an assessment of how the open streets, open restaurants and open storefronts programs 
affect the availability of legal spaces to vend, as well as whether new placement restrictions should be considered to ensure
equitable and efficient use of sidewalk and street space. 
Prior to June 1 of each year, from 2023 through 2030, the board shall issue to the speaker of the council a 
recommendation on whether DOHMH’s authority to issue any or all of the supervisory licenses authorized to be issued by 
such department should be restricted, expanded, or otherwise altered based on an analysis of the results of the increased 
number of food vendor permits issued pursuant to the local law that added this section.
Section thirty-two of this local law (which establishes the advisory board) takes effect 90 days after they become law.",,Local Law 18 of 2021 ,https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCadmin/0-0-0-34290,,MC,,Ad Code § 20-465.2 ,Multi-member Commission,,Yes,Yes,,,Local Law 18 of 2021.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/oM3btCExdV9V7SD0RLpKrA/e4YK_J-AxkRoKslSaILlRCrmkGHfI7DKkcCVbaQkgvWyAsDn6N9BvgkjVdt0XBTHCgxfFb5baEjm6zur2HnuRCO8Zo-XIaQAZlGrYilcOMdLl39GY1UUPqyMrVpqYJ8h8lfGWWAxtiZTu0-VWtCpWw/xJHPjXQC_ogYwwXxtOXqfD-WHAa7DrfYYBBA-PTmcdY),,,
SWCD,Soil and Water Conservation District ,Board/Commission,,,,,,DM Operations,Meera Joshi,"Part of a nationwide system of 3,000 districts. It assists New Yorkers and local decision-makers in making wise use of the City’s soil, water and related resources.",,"New York State Soil and Water Conservation Districts Law –  Article 2, § 6  ",https://newyork.public.law/laws/n.y._soil_and_water_conservation_districts_law_section_2,https://agriculture.ny.gov/soil-and-water/soil-water-conservation-district-offices,,,New York Soil & Water Conservation Districts Law,Multi-member Commission,,No,No,,,"DRAFT Bylaws 2017.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/7wlvyZmPSB0Tv1bCzIbnPw/NeWMBqXmm9V7F0oticeNoOAc9YkB-CoSKvd-gLAGeV738sCE7U7RIqWSaA2_L3RTENlniRnmv2oaHSgib1rrbt6eyns4eg63xkDPXQ8jDuYAv8c5DqLLLUUUN2yxnIUajWdSl97IrFYf786wHdYWFQ/n7pdRnchCIc01Z_lzd_8W91fj7-qi0LqLRMPdyFWGG0),Soil and Water Conservation Districts Law.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/F7Ftjai-f4ggL9slkkOgdw/3Fx0AKdnFbEuzHDDL9Cz3yXydmIoFe4Qbf_tXVoevbQdT2_Sh_uQ52BYRnnXFOURE-M-ZGQqslp30KkXLTvdQI-08DDyaz-CoI35fgo0qTzWlcg-ajoZSI7hIzcEE0Rx4VM1Y6MPZ3za236pWyUoAmhYtJWERurVkLwrSbFJmEw7Xa2if7WtbYbkQ38M57Ak/SrCOQ7LCViOkv3OilUFhyu5EKoXyq_ntMWikEUeHl4c)",,,
SWRAB,"Sports, Wellness, & Recreation Advisory Board",Board/Commission,,,,,,Mayor's Chief of Staff,Camille Joseph-Varlack,"The advisory board makes recommendations to the Director of the Office of SWR on matters such as: 
•Enhancing and promoting competitive sports among New York city youth 
•Providing need-based access to quality competitive sport training
•Organizing and attracting youth sports tournaments, events, and other sporting activities
•Identifying barriers to the growth and development of extracurricular and school-based youth sports
•Determining the availability of potential resources for entities involved with organized and youth sports and recreation 
•Expanding opportunities for  youth, particularly those from under-resourced communities, transitioning from informal recreational sporting activities to organized high school athletic programs, and from organized high school athletic programs to college athletic programs
•Identifying training resources for coaches seeking positions with organizations sponsoring extracurricular and school-based sports and recreation programs
•Furthering the city’s commitment to health, wellness, and social development through extracurricular and school-based sports and recreation programs
•Expanding adaptive sports and inclusive recreation opportunities for youth with disabilities
•Researching private and public partnership opportunities to support extracurricular and school-based sports, competitive sports programs, and recreation programs
",,City Council Legislation Int. No. 1959A-2020  ,https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-5776,,,,"Charter Chapter 1, Section 20-l",Multi-member Commission,,Yes,Yes,,,Local Law 62 of 2021.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/eJfGqmdeZZwghNAuyWx-9Q/-Io1ip5EqS_rrTY2UldZfaWu_WIC3ABQm--jqFOx0HSAyH5fJynRITd2IAjFs7-M-6LnWJzYsHQ455teYe9q4P_l8nAQK7YcuKFWY3IMTigb7Rf1NzWENz87gZscEntWxLU-pDnke3fTMm0Cr9I0JA/1SEVxwu5ZXkvy5RzpuhnSfVgT9dYyR44-ySo7cEhKMU),,,
TAT,Tax Appeals Tribunal,Board/Commission,,checked,,,,First Deputy Mayor,Maria Torres-Springer,The Tribunal for Tax Appeals is within the Office of Administrative Tax Appeals.  It has the jurisdiction to hear and determine cases initiated by the filing of petitions protesting notices issued by the Commissioner of Finance involving NYC-administered taxes and charges other than the Real Property Tax.,,NYC Charter – Ch 7 § 168 and § 15,https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-763,https://www1.nyc.gov/site/taxappeals/index.page,MC,,"Charter, Chapter 7, Section 168","""Single Agency Head (commissioner, exec director, administrator)"",Multi-member Commission",,Yes,No,,Chapter 7 - TAX APPEALS — NYC Charter Sec 168.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/F1eniYLa42znJv168XUZjg/tpVFGpcJMr353OH5AV0JCEb-dXuINDjk084bq3Nuz7Qek6L3pB5xCjPmtgp1JEE6qdDxCJtX_YOuS7XCJB8cfns6-yVwGRQMcZDtv0mQk9hye_qOt6Z6mFEeSYrWWAMThONPE4aBoDpreLIeLJW7pIjT_X72LiYe0b3bwnzpOqjkCpN6Y0vCskzUQGlrOQxU/xwU29wxv5ppoF4zZAPeiR2Ly_HBI4mctJi6rGOCt8l8),,,,
TAX,Tax Commission,Board/Commission,,checked,,,,First Deputy Mayor,Maria Torres-Springer,"The Tax Commission is the City of New York's forum for independent administrative review of real property tax assessments set by the Department of Finance.  

The Tax Commission reviews and determines annual applications for correction of assessment filed by owners and other parties with sufficient legal interest in properties they claim are incorrectly assessed or improperly denied an exemption from real property tax.",Brooklyn,NYC Charter – Ch 7 § 153 and § 15,https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-682,https://www1.nyc.gov/site/taxcommission/index.page,MC,,"Charter, Chapter 7, Section 153",Multi-member Commission,,Yes,No,,Chapter 7 - TAX APPEALS — NYC Charter 0_0_1 documentation.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/QeBsI7ge50k-SYqUBHYzIg/WtbY9unpnvhEDc4_8Y1PHxmunZVh1IofRKLz9mv70S6dbft-uWPXslGWmN44arwfD7CJkYrs_-NVG8nB0EtbRI-sCIIUMoSSsXw6TQ8efYaH5c_hLIMsx6LIDMEOu4JWSuGQ27lLBxYazvFq0X237Gc7RECPRhkPE31Zqmws3DP3Ou3yxxOZmkEwIAHTzmpS/tHiWWYRVt-WO6haqKBDAMRbl881v9P8aX4bb2gVtFNg),,,,
TCR,Trust for Cultural Resources,Board/Commission,,,,,,DM Housing - Economic Development & Workforce,Maria Torres-Springer,"A public benefit corporation created in 1976 by the State Legislature, the Trust for Cultural Resources was established to provide assistance to eligible museums and other participating cultural institutions to expand their facilities and increase their revenues through development of their underutilized real property.",,"NYS Arts and Cultural Affairs Law, Title E, Article 21 – § 21.05",https://newyork.public.law/laws/n.y._arts_and_cultural_affairs_law_title_e_article_21,https://www.tcrnyc.org/,MC,,"New York Arts and Cultural Affairs Law, Title E, Article 21",Multi-member Commission,,Yes,No,,,TCR Bylaws.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/3YoGja4rTvjy9NBeqM8uFQ/lU5K-w-dZZg3X6RcuciTUqfYNOkR9e--pgivn2ecLxYvgoudRalArmRdMKiod_v6Xr8t7BrYNJCXEjdeWf7w3OQIAiygs4TgDEyfU5mrPfaDzSfdTFM4Tp0YqUaLjJeJYW53EFX3BZ-hdaH43MVuIw/sl49eDdvEyYtv3ZD7rm4hJhObCIBIKH2BzjxlPJhIOE),,,
TEXTILES,"Environmentally Preferable Purchasing, Use and Disposal of Textiles Task Force",Board/Commission,,,,,,Chief Counsel to the Mayor,Allison Stoddart,"Establishes a task force to identify and assess agency needs for textile goods and make recommendations for purchasing such goods in an environmentally preferable manner. Additionally, the task force would be required to identify other costs associated with agency textile consumption, including the health and safety effects on laborers in the supply chain and the communities in which textile goods are produced, processed and manufactured.
The task force shall submit a report to the mayor and the speaker setting forth in detail the task force’s findings, conclusions, and any supporting methodology and analysis, that form the basis of the task force’s guidelines for environmentally preferable purchasing of textiles. The Director shall publish the report no later than 5 days after its submission to the Mayor and Speaker
This local law takes effect 180 days after it becomes law (April 23, 2022). All appointments shall be made no later than 180 days after the effective date of the local law (October 20, 2022). The task force shall terminate 180 days after the date it completes its submission to the Mayor and Speaker.
",,Local Law 112 of 2021,https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCadmin/0-0-0-134759,,,,LL 112 2021,Multi-member Commission,,No,No,,,,,,
TFREENTRY,Temporary Task Force on Post-Incarceration Reentry for Older Adults,Board/Commission,,,,,,DM Public Safety,Chauncey Parker,A temporary task force on post-incarceration reentry for older adults into New York City,,Local Law 78 of 2018,,,MC,,LL 78 2018,Multi-member Commission,,Yes,No,,,Local Law 78.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/n_R5eRFwNsIjMW6POqOwLQ/btokOWMnm1DnhdEri-B7tVxM9Dt15TKe0Z5n0AFJwhFheJxmjyK6s9Ror61GWFdYO0-GAuR8KpTEitlxYo_QDMvx-4OCYcBU9ZiP4BIILm3-lc0pKp4_-yGta-67giWWtb4wLsQH7rrMo4SwPhgxKA/p9e3GWKcYI-NCs3USu2rtT1gFMPdMTZ_xZMY5oKvSpg),,,
TFTAXLIENSALES,Temporary Task Force to Review Tax Lien Sales,Board/Commission,,,,,,First Deputy Mayor,Maria Torres-Springer,,,,,"https://www1.nyc.gov/site/finance/taxes/property-lien-sales.page#:~:text=Avoid%20Predatory%20Lenders%21%20The%20Department%20of%20Finance%20has,is%20on%20the%20Lien%20Sale%20Task%20Force%20page.",,,LL 14 2015,Multi-member Commission,"This taskforce consists of 10 members. Five members appointed by the Mayor and five appointed by 
the City Council",No,No,,,,,,
TGI,Trust for Governors Island,Board/Commission,,,,,,DM Housing - Economic Development & Workforce,Maria Torres-Springer,"The City of New York is responsible for Governors Island and created the Trust for Governors Island, the organization charged with the operations, planning and redevelopment of 150 acres of the Island.

The Trust is transforming Governors Island into a destination with great public open space, as well as educational, not-for-profit, and commercial facilities. 30 new acres of park and public spaces opened to the public for the first time in 2014. The Trust broke ground on the Hills, the crowning feature of the new park. Made of recycled construction and fill materials, The Hills will rise 25 to 80 feet above the Island, and the summit of the tallest Hill will provide visitors with a 360-degree panorama of the Statue of Liberty, New York Harbor and the Lower Manhattan skyline.
",,Governors Island agreement between State and City of New York (September 2020) By-Laws of the Governors Island Corp.,https://www1.nyc.gov/assets/records/pdf/executive_orders/2010EO134.pdf,https://www.govisland.com/about/the-trust-for-governors-island,,,EO 134 2010,"""Single Agency Head (commissioner, exec director, administrator)""",,No,No,,,,,,
TMRB,Traffic Mobility Review Board (aka Congestion Pricing),Board/Commission,,,,,,DM Operations,Meera Joshi,"The board shall make a recommendation regarding the central business district toll amounts to be established pursuant to article 44-C of the vehicle and traffic law, which shall include a variable-pricing structure, no sooner than November 15, 2020 and no later than December 31, 2020, or no later than thirty days before a central business district tolling program is initiated, whichever is later. Such recommendation shall be submitted to the board of the Triborough bridge and tunnel authority for consideration before the Triborough bridge and tunnel authority board may approve central business district toll amounts that may be established and adopted. The Metropolitan Transportation Authority capital plan shall be reviewed by the traffic mobility review board.

The board shall consider for purposes of its recommendations, factors including but not limited to: traffic patterns, traffic mitigation measures, operating costs, public impact, public safety, hardships, vehicle type, discounts for motorcycles, peak and off-peak rates and environmental impacts, including but not limited to air quality and emissions trends. The board shall produce a detailed report that provides information regarding the board's review and analysis for purposes of establishing its recommendations, including but not limited to, all of the considerations referred to in this subdivision. The board shall not recommend a toll that provides for charging passenger vehicles registered pursuant to subdivision six of section four hundred one of the vehicle and traffic law more than once per day.
",,NY State Article 3 Title 3 Section 553-K,"https://www.nysenate.gov/legislation/laws/PBA/553-K#:~:text=Public%20Authorities%20%28PBA%29%20CHAPTER%2043-A%2C%20ARTICLE%203%2C,TITLE%203%20%C2%A7%20553-k.%20Traffic%20mobility%20review%20board.",,MC,,"PBA, Chapter 43-A, Article 3, Title 3, Section 553-K","""Single Agency Head (commissioner, exec director, administrator)""",,No,No,,,"Traffic Mobility Review Board Bylaws.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/1H7ofnD0YKBJQ0cp9JCf8Q/e0R8sqBVBFK_VXTC7jS2pYOW3Txsn6m-XFIxEwUDSH8vNBpTPTxHT387WD0CLgLOGjwHhwuUPOFGkeYNWM91EMQ_ftiywfPfIV_HemHNUwPXx27-TDL7FEyYFEymTRhnDGhDHztlnhf8NiDiQpvDBzWNBIWowOT3mgJnRUKBo30/yic0xGUnEpjqkwb9EEMTRIlWDCxOhFwYAFfG9iE3Sbs),""New York Consolidated Laws, Public Authorities Law - PBA §553-K _ NY State Senate.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/mZlyzbb_WdkJ0hHgCEDvhQ/yXyMlF4tvIrYV9TJBX0ymiDuwCEeOs1LBTTx9bfdFnuxnmGZzpCdfUnSaFTtvegcr36B18__7ZI2Yt7-H_PglIQKUBfxZpp_6kr_MBtPVf4izip7mYY9CyZbyOlgWCrHve0dEaa3NReftdCdLAqCVawyneE5Vg3fmeg3SmJkjod6uvMoKeaG7rxCMLQmAHjhwmoh7bq94P9k26UUQJdPYGXf4xWKe1wMLxj527xXogA/ZroW0NLwPaI62o3EsDYy4gOoAmQJuVdfCAzmZn1O_Lo)""",,,
TQHTF,Three Quarter Housing Task Force,Board/Commission,,,,,,DM Housing - Economic Development & Workforce,Maria Torres-Springer,"Appointees shall not be members of the taskforce, but advise the Three Quarters Housing Task Force on an ongoing basis.

Three Quarters Housing task force, not the advisors,  report on all violations, fines, or liens, placed against landlords of three-quarter housing for failing to timely correct violations and agencies represented on the task force shall inspect as appropriate. A city agency or office designated by the mayor shall provide the Council Speaker and publish on its website quarterly reports on the state of three-quarter housing in the city. Three Quarters Housing task force is comprised of representatives from DSS, DOB, FDNY, DOHMH, and Mayor’s Office as needed and the Mayor appoints the Chair.
",,Local Law 189 of 2019,https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCadmin/0-0-0-113705,https://www1.nyc.gov/content/tenantprotection/pages/tqh-task-force,,,"Ad Code, Title 3, Chapter 1, § 3-152 ","""Single Agency Head (commissioner, exec director, administrator)""",,Yes,No,,,Local Law 189 of 2019.pdf (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/Yz0zdniyPyCOWq0c39Yleg/53hd4M--jSjgiO1AfptUSa0gSVyRoqo5J7MkkoA3HEDlra5zYgcWAwzG4UxOpRV9p3SqCY3ks7CdnXHAQwWuVCTL1KzpGmsZaHvfNcr0TlTyeeL2KOsbQheerIl605IPqCi7rRARBq_NXi25LFRpc7MqYsPjDwi_aKP8PnX3RcU/tOVaVPJgSnOGrlJc7k90ooVLh45W0Z9fSRCbONeU_E4),,,
TRSPENSION,Teachers' Retirement System Pension Fund Board of Trustees,Board/Commission,,,,,,First Deputy Mayor,Maria Torres-Springer,Oversees and acts as fiduciary for the New York City teachers’ pension fund.,Mayor appoints two members; one of whom must be a member of PEP,NYC Administrative Code - § 13-507,https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCadmin/0-0-0-22064,https://trsnyc.org/memberportal/login,MC,,"Ad Code, Title 13, Chapter 4",Multi-member Commission,,Yes,No,,,,,,
TSASC,Tobacco Settlement Asset Securitization Corporation,Board/Commission,,,,,,Chief Counsel to the Mayor,Allison Stoddart,,,,https://www1.nyc.gov/assets/tsasc/downloads/pdf/tsasc-certificate-of-incorporation.pdf,https://www1.nyc.gov/site/tsasc/about/about.page,,,"Certificate of Incorporation of TSASC, Inc. ","Multi-member Commission,""Single Agency Head (commissioner, exec director, administrator)""",,Yes,No,By Laws: http://www.nyc.gov/html/tsasc/pdf/tsasc_by_laws.pdf?msclkid=b7d8487ac00c11ecb9d3e05d476e0902,,,,,
TSCLDC,Theater Subdistrict Council Local Development Corporation,Board/Commission,,,,,,DM Housing - Economic Development & Workforce,Maria Torres-Springer,"The Theatre Subdistrict Council (“TSC”), Local Development Corporation (“LDC”) is a not-for-profit corporation established pursuant to a 1998 zoning regulation. It allows owners of certain Broadway theaters to transfer air rights within the Theater Subdistrict, provided the theaters are preserved, there are commitments to use the space for legitimate theater use, and funds are deposited into the Theater Subdistrict Fund limited solely to promote theater and theater-related use and preservation within, and promoting the welfare of, the Theater Subdistrict. 

The TSC is bound by West 57th Street, Avenue of the Americas, West 40th Street, Eighth Avenue, West 42nd Street, a line 150 feet west of Eighth Avenue, West 45th Street and Eighth Avenue. The TSC administers the Theater Subdistrict Fund and allocates grants with the goal of promoting the production of new theater work, developing new audiences, and showcasing Broadway’s singular role in the history of American theater. 

Zoning Resolution requires a contribution of $17.60 per square foot of transferred floor area to the fund.

The TSC falls under the jurisdiction of the NYC Department of City Planning.
",,1998 zoning regulation,,,MC,,,Multi-member Commission,,Yes,No,"By Laws: https://www1.nyc.gov/assets/planning/download/pdf/zoning/districts-tools/tsc/bylaws.pdf
Document: https://www1.nyc.gov/assets/planning/download/pdf/zoning/districts-tools/tsc/auditors_report_and_financials_16_17.pdf",,Theater Subdistrict Council Bylaws (4_30_2007).pdf (https://v5.airtableusercontent.com/v3/u/37/37/1739052000000/j58SWdMIkuuNKNK9dsIv4Q/-E4AMN6HYte7wUlhR4yS64AxdhdaDu8eHFWG0cEs6_xaKNVj-mDOy8cwWOpz3z5xdMKdc6yQ2Aqhw3LHXbx1HTEhlIn1ak8iBjqJeiqSdQDeDEqACLWS64gy6aRBqU57DTXJrYCSUV9QOvYrDzvM9414slf6GOqm3DIadtbFiQI6YxbAu6r_0ujt88PAp9Jl/BPR04eEQQIOr6L8OYLsBpm4u9veL4FGaeQlWapyXHbE),,,
