Name,NameAlphabetized,Name - CPO,Name - Checkbook,Name - Greenbook,Name - HOO,Name - NYC Open Data Portal,Name - NYC.gov Agency List,Name - NYC.gov Mayor's Office,Name - ODA,Name - Ops,Name - WeGov,OperationalStatus,PreliminaryOrganizationType,Description,URL,ParentOrganization,NYCReportingLine,AuthorizingAuthority,LegalCitation,LegalCitationURL,LegalCitationText,LegalName,AlternateNames,Acronym,AlternateAcronyms,BudgetCode,PrincipalOfficerName,PrincipalOfficerTitle,OpenDatasetsURL,Notes,FoundingYear,SunsetYear,URISlug,DateCreated,DateModified,LastVerifiedDate,NameWithAcronym,NameAlphabetizedWithAcronym,PrincipalOfficerGivenName,PrincipalOfficerFamilyName,NameNormalized,RecordID,Agency Name,Entity type,source,HeadOfOrganizationName,HeadOfOrganizationTitle,PrincipalOfficerContactURL,merged_from,data_source
Office of Street Vendor Enforcement,"Street Vendor Enforcement, Office of",,,,,,,,,,,Active,Division,,https://www.nyc.gov/site/dsny/what-we-do/cleaning/street-vending-enforcement.page,Department of Sanitation,Department of Sanitation,New York City Charter,"Chapter 1, Section 13-e",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-125,"There shall be an office of street vendor enforcement, which shall consist of enforcement agents who are specially trained in local laws and rules related to vending on the streets and sidewalks of the city of New York. The office of street vendor enforcement shall be fully operational on or before September 1, 2021 and shall commence enforcement activities on or before such date. Such enforcement activities shall, at a minimum, include a sufficient number of street patrols to inspect or examine the vending activities of at least 75 percent of applicable permittees or licensees on an annual basis. For the purposes of this section, the term ""applicable permittees or licensees"" means persons issued full-term or temporary permits pursuant to section 17-307 of the administrative code, or persons issued licenses to vend pursuant to sections 17-307 or 17-307.1 of the administrative code, or licenses issued pursuant to section 20-456 of the administrative code. The mayor may establish such office in the executive office of the mayor, within any other office in the executive office of the mayor, or within any department, the head of which is appointed by the mayor.",,,,,,,,,,2021.0,,office-of-street-vendor-enforcement,2024-07-29,,,Office of Street Vendor Enforcement,"Street Vendor Enforcement, Office of",,,office of street vendor enforcement,REC_000199,,,,,,,,nyc_agencies_export
Office of Technology and Innovation,"Technology and Innovation, Office of",Office of Technology and Innovation,,Office of Technology & Innovation,"Office of Technology and Innovation, New York City",Office of Technology and Innovation (OTI),"Technology and Innovation, NYC Office of (OTI)","Technology and Innovation, NYC Office of (OTI)",Office of Technology and Innovation (OTI),Office of Technology and Innovation,Office of Technology and Innovation,Active,Mayoral Office,"The Office of Technology and Innovation (OTI) creates tech-based solutions for a more effective, future-ready New York City. We make services work better across all sectors, from emergency services to benefits screening. We pool combined expertise from across the City to get stuff done for all New Yorkers.
",https://www.nyc.gov/content/oti/pages/,Mayor's Office,Chief Technology Officer,Mayoral Executive Order,"Executive Order 3, 2022",https://a860-gpp.nyc.gov/concern/nyc_government_publications/3b591c25v?locale=en,"Establishes the Office of Technology and Innovation, headed by the Commissioner/Chief Technology Officer.",Department of Information Technology and Telecommunications,Department of Information Technology and Telecommunications,OTI,DoITT,858.0,Matthew C. Fraser,Chief Technology Officer (CTO),https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Office+of+Technology+and+Innovation+%28OTI%29,"The Office of Technology and Innovation (OTI) was created in November 2021 through Executive Order No. 3, merging several technology-focused entities to streamline and enhance the city's technology and innovation efforts. The entities merged into OTI include NYC Cyber Command, the NYC Office of Data Analytics (ODA), the Mayor's Office of the Chief Technology Officer (MOCTO), the Mayor's Office of Information Privacy, and the Mayor's Office of Data Analytics. Additionally, the Department of Information Technology and Telecommunications (DoITT) still exists solely for legal contract purposes, while its operational functions have been integrated into OTI. This consolidation aimed to create a unified approach to technology deployment and innovation across NYC government agencies, improving efficiency and coordination.",2022.0,,office-of-technology-and-innovation,2024-07-29,,,Office of Technology and Innovation (OTI),"Technology and Innovation, Office of (OTI)",Matthew,Fraser,office of technology and innovation,OPS_000132,Office of Technology and Innovation,Agency,ops,Matthew C. Fraser,Chief Technology Officer (CTO),https://www.nyc.gov/content/oti/pages/email-the-chief-technology-officer,"[""OPS_000132"", ""REC_000200""]",ops
Office of the Tenant Advocate,"Tenant Advocate, Office of the",,,,,,,,,,,Active,Division,,,Department of Buildings,Department of Buildings,New York City Charter,"Chapter 26, Section 650",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-4650,"Establishment of the office of the tenant advocate. There shall be in the department an office of the tenant advocate, whose duties shall include, but not be limited to: 1.   monitoring tenant protection plans to ensure that such plans comply with the requirements of section 28-104.8.4 of the administrative code; 2.   establishing a system to receive comments, questions and complaints with respect to tenant protection plans, including, but not limited to, establishing and publicizing the availability of a telephone number to receive such comments, questions and complaints; 3.   establishing a system to communicate with tenants who are affected by work in occupied multiple dwellings to ensure that such tenants have notice of such work, understand the applicable tenant protection plan and understand their rights as tenants during such work; and 4.   monitoring sites with tenant protection plans to ensure that such sites are complying with such plans and, if the office finds that a site is not complying with such plan, making a recommendation to the commissioner to issue a stop work order for such site until such site is in compliance.",,,,,,,,,,2017.0,,office-of-the-tenant-advocate,2024-07-29,,,Office of the Tenant Advocate,"Tenant Advocate, Office of the",,,office of tenant advocate,REC_000201,,,,,,,,nyc_agencies_export
Office of Workforce Development,"Workforce Development, Office of",Mayor's Office of Talent and Workforce Development,,,,,"Talent and Workforce Development, Mayor’s Office of","Talent and Workforce Development, Mayor’s Office of",Mayor’s Office of Talent and Workforce Development (WKDEV),,Office of Workforce Development,Reorganized,Mayoral Office,"WKDEV is responsible to coordinate workforce with economic development in all five boroughs, to create a real time connection to businesses to ensure their needs are met, and to effectively connect those New Yorkers seeking workforce services to quality jobs with opportunities for advancement.",http://www.nyc.gov/wkdev,,,Mayoral Executive Order,"Executive Order 22, 2022",https://a860-gpp.nyc.gov/concern/nyc_government_publications/sx61dq02c?locale=en,"Executive Order No. 22, dated August 15, 2022, relates to The Office of Talent and Workforce Developments' new mission and structure to take effect immediately.",,,WKDEV,,2.0,Abby Jo Sigal,Executive Director,,,,,office-of-workforce-development,2024-07-29,,,Office of Workforce Development (WKDEV),"Workforce Development, Office of (WKDEV)",Abby,Sigal,office of workforce development,REC_000203,,,,,,,,nyc_agencies_export
Office for Prevention of Hate Crimes,"Prevention of Hate Crimes, Mayor's Office for the",Mayor's Office for the Prevention of Hate Crimes,,,"Prevention of Hate Crimes, Office for (OPHC)",,"Prevention of Hate Crimes, Office for (OPHC)","Prevention of Hate Crimes, Office for (OPHC)",Office for the Prevention of Hate Crimes,Office for Prevention of Hate Crimes,Office for the Prevention of Hate Crimes,Active,Mayoral Office,"The Office for the Prevention of Hate Crimes (OPHC) takes a holistic approach to preventing hate crimes, developing and coordinating community-driven prevention strategies to address biases fueling such crimes, and fostering healing for victims and their communities.",https://www1.nyc.gov/site/stophate/index.page,Mayor's Office,Mayor's Office of Criminal Justice,New York City Charter,"Chapter 1, Section 20-g",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-5229,"The mayor shall establish an office for the prevention of hate crimes. Such office may be established within any office of the mayor or as a separate office or within any other office of the mayor or within any department the head of which is appointed by the mayor. Such office shall be headed by a coordinator who shall be appointed by the mayor or the head of such department. For the purposes of this section only, ""coordinator"" shall mean the coordinator of the office for the prevention of hate crimes.",,,OPHC,,,,Executive Director,,,2019.0,,mayors-office-for-the-prevention-of-hate-crimes,2024-07-29,,,Mayor's Office for the Prevention of Hate Crimes (OPHC),"Prevention of Hate Crimes, Mayor's Office for the (OPHC)",,,office prevention of hate crimes,OPS_000069,Office for Prevention of Hate Crimes,Mayoral unit/office,ops,Eunice Lee,Deputy Executive Director,https://www.nyc.gov/site/stophate/about/contact-us.page,"[""OPS_000069"", ""REC_000139"", ""REC_000209""]",ops
Opioid Settlement Fund Advisory Board,,,,,,,,,,Opioid Settlement Fund Advisory Board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opioid settlement fund advisory board,OPS_000314,Opioid Settlement Fund Advisory Board,Board/Commission,ops,,,,,ops
Panel on Educational Policy,,,,,,,,,,Panel on Educational Policy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,panel educational policy,OPS_000317,Panel on Educational Policy,Board/Commission,ops,,,,,ops
Pay Equity Cabinet,Pay Equity Cabinet,,,,,,,,Pay Equity Cabinet (PEC),Pay Equity Cabinet,,Active,Mayoral Office,"The cabinet was established to create a roadmap to achieve pay equity and to address occupational segregation within the municipal workforce. CGE and the Department of Citywide Administrative Services co-chair the cabinet, which includes representatives from several different city agencies and offices.",https://www.nyc.gov/content/genderequity/pages/economic-mobility-opportunity,Mayor's Office,Commission on Gender Equity and Department of Citywide Administrative Services,Mayoral Executive Order,"Executive Order 84, 2021",https://a860-gpp.nyc.gov/concern/nyc_government_publications/jm214s65d?locale=en,The Mayor of New York City establishes within the Office of the Mayor a Pay Equity Cabinet which shall conduct an annual analysis of pay and employment equity in public employment.,,,PEC,,,,,,,2021.0,,pay-equity-cabinet,2024-07-29,,,Pay Equity Cabinet (PEC),Pay Equity Cabinet (PEC),,,pay equity cabinet,OPS_000073,Pay Equity Cabinet,Mayoral unit/office,ops,,,,,ops
Police Department,Police Department,Police Department,Police Department,Police Department,"Police Department, New York City (NYPD)",Police Department (NYPD),"Police Department, New York City (NYPD)","Police Department, New York City (NYPD)",New York City Police Department (NYPD),Police Department,Police Department,Active,Mayoral Agency,"The Police Department (NYPD) is committed to providing, with the utmost integrity and respect, a safe and secure environment for the public. The personnel assigned to the Department's 76 precincts, 12 Transit Districts, nine Housing Police Service Areas and other investigative and specialized units, protect life and deter crime while responding to emergency calls and impartially enforcing the law.",http://www.nyc.gov/nypd,Mayor's Office,Mayor's Office,New York City Charter,"Chapter 18, Section 431",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-1617,"There shall be a police department the head of which shall be the police commissioner who shall be appointed by the mayor and shall, unless sooner removed, hold office for a term of five years.",,,NYPD,,56.0,Edward A. Caban,Commissioner,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Police+Department+%28NYPD%29,,1845.0,,police-department,2024-07-29,,,Police Department (NYPD),Police Department (NYPD),Edward,Caban,police department,OPS_000124,Police Department,Agency,ops,Edward A. Caban,Police Commissioner,https://www.nyc.gov/site/nypd/about/about-nypd/email-the-commissioner.page,"[""OPS_000124"", ""REC_000208""]",ops
Police Pension Fund,"Police Pension Fund, New York City",NYC Police Pension Fund,,Police Pension Fund,Police Pension Fund (PPF),,Police Pension Fund (PPF),Police Pension Fund (PPF),Police Pension Fund (NYCPPF),Police Pension Fund,Police Pension Fund,Active,Fiduciary Fund,The Police Pension fund provides services to current and retired officers of the New York City Police Department.,http://www.nyc.gov/nycppf,,,New York State,,,,,,PPF,,,Kevin Holloran,Executive Director,,,1857.0,,new-york-city-police-pension-fund,2024-07-29,,,New York City Police Pension Fund (PPF),"Police Pension Fund, New York City (PPF)",Kevin,Holloran,police pension fund,OPS_000410,Police Pension Fund,Independent,ops,Kevin Holloran ,Executive Director,https://www.nyc.gov/nyc-resources/mail/ppf-email-the-executive-director.page,"[""OPS_000410"", ""REC_000163""]",ops
Primary Care Development Corporation,,,,,,,,,,Primary Care Development Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,primary care development corporation,OPS_000315,Primary Care Development Corporation,Board/Commission,ops,,,,,ops
Procurement Policy Board,Procurement Policy Board,,,,Procurement Policy Board (PPB),,Procurement Policy Board (PPB),Procurement Policy Board (PPB),,Procurement Policy Board,Procurement Policy Board,Active,"Advisory, Oversight, or Regulatory Body","The Procurement Policy Board (PPB) is authorized to promulgate rules governing the procurement of goods, services, and construction by the City of New York under Chapter 13 of the Charter of the City of New York.",https://www.nyc.gov/site/mocs/regulations/ppb.page,,Mayor's Office and Office of the Comptroller,New York City Charter,"Chapter 13, Section 311",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-1355,"There shall be a procurement policy board consisting of five members, three of whom shall be appointed by the mayor and two of whom shall be appointed by the comptroller. Each member shall serve at the pleasure of the appointing official. Members shall have demonstrated sufficient business or professional experience to discharge the functions of the board. At least one member appointed by the mayor and one member appointed by the comptroller shall not hold any other public office or public employment. The remaining members shall not be prohibited from holding any other public office or employment provided that no member may have substantial authority for the procurement of goods, services or construction pursuant to this chapter. The mayor shall designate the chair.",,,PPB,,,Guillermo Chacón,Chair,,,1989.0,,procurement-policy-board,2024-07-29,,,Procurement Policy Board (PPB),Procurement Policy Board (PPB),Guillermo,Chacón,procurement policy board,OPS_000318,Procurement Policy Board,Board/Commission,ops,Guillermo Chacon,Former Chair ,,"[{'id': 'HOO_000142', 'name': 'Procurement Policy Board (PPB)', 'score': None}]",ops
Property Tax Debt Resolution Task Force,,,,,,,,,,Property Tax Debt Resolution Task Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,property tax debt resolution task force,OPS_000322,Property Tax Debt Resolution Task Force,Board/Commission,ops,,,,,ops
Prospect Park Alliance ,,,,,,,,,,Prospect Park Alliance ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prospect park alliance,OPS_000320,Prospect Park Alliance ,Board/Commission,ops,,,,,ops
Public Administrator - Bronx County,,,,,Public Administrator - Bronx County (BCPA),,,,,Public Administrator - Bronx County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,public administrator bronx county,OPS_000389,Public Administrator - Bronx County,Independent,ops,Matilde B. Sanchez,Public Administrator,https://www.nyc.gov/site/bronxpa/contact/contact.page,"[{'id': 'HOO_000144', 'name': 'Public Administrator - Bronx County (BCPA)', 'score': None}]",ops
Public Advocate,"Public Advocate, Office of the",Office of the Public Advocate,Public Advocate,Public Advocate for the City of New York,Public Advocate (PUB ADV),,Public Advocate (PUB ADV),Public Advocate (PUB ADV),Office of the Public Advocate,Public Advocate,Public Advocate,Active,Elected Office,"The Office of Public Advocate for the City of New York is a citywide elected position in New York City, which is first in line to succeed the Mayor. The office serves as a direct link between the electorate and city government, effectively acting as an ombudsman, or ""watchdog,"" for New Yorkers by providing oversight for city agencies, investigating citizens' complaints about city services and making proposals to address perceived shortcomings or failures of those services.",http://pubadvocate.nyc.gov/,Mayor's Office of Climate and Environmental Justice,The People of the City of New York,New York City Charter,"Chapter 2, Section 24",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-301,The public advocate shall be elected by the electors of the city at the same time and for the same term as in this charter prescribed for the mayor. A public advocate who resigns or is removed from office prior to the completion of a full term shall be deemed to have held that office for a full term for purposes of Section 1138 of the charter.,,,PUB ADV,,101.0,Jumaane Williams,Public Advocate,,,1989.0,,office-of-the-public-advocate,2024-07-29,,,Office of the Public Advocate (PUB ADV),"Public Advocate, Office of the (PUB ADV)",Jumaane,Williams,public advocate,OPS_000411,Public Advocate,Independent,ops,Jumaane Williams ,Public Advocate ,https://advocate.nyc.gov/intake,"[""OPS_000411"", ""REC_000195""]",ops
Public Design Commission,Public Design Commission,Public Design Commission,,,Public Design Commission,Public Design Commission (PDC),Public Design Commission,Public Design Commission,Public Design Commission (PDC),Public Design Commission,Public Design Commission,Active,"Advisory, Oversight, or Regulatory Body","Established in 1898 as the Art Commission, New York City’s design review agency was renamed the Design Commission in July 2008 to better reflect its mission. The Design Commission reviews permanent works of art, architecture and landscape architecture proposed on or over City-owned property. The Commission also acts as caretaker and curator of the City’s public art collection and maintains an extensive archive documenting the history of New York City’s public works.",http://www.nyc.gov/designcommission,,"Deputy Mayor for Housing, Economic Development and Workforce",New York City Charter,"Chapter 37, Section 851",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-2603,"There shall be an art commission the members of which shall be the mayor, who may appoint a person to represent him and replace such representative at his pleasure, the president of the Metropolitan Museum of Art, the president of the New York Public Library (Astor, Lenox and Tilden foundations), the president of the Brooklyn Museum, one painter, one sculptor, one architect, and one landscape architect, all of whom shall be residents of the city, and three other residents of the city no one of whom shall be a painter, sculptor, architect, landscape architect or active member of any other profession in the fine arts.",Art Commission,Art Commission,PDC,,,Sreoshy Banerjea,Executive Director,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Public+Design+Commission+%28PDC%29,"The Art Commission was renamed the Public Design Commission by Executive Order 119 for the year 2008, except for court documents, contracts, and any other situation where the name “Art Commission” is legally required.",1898.0,,public-design-commission,2024-07-29,,,Public Design Commission (PDC),Public Design Commission (PDC),Sreoshy,Banerjea,public design commission,OPS_000316,Public Design Commission,Board/Commission,ops,Sreoshy Banerjea,Executive Director,"https://www.nyc.gov/site/designcommission/about/contact-pdc/contact.page#:~:text=For%20delivery%20of%20models%20or,788%2D3071%20to%20make%20arrangements.","[{'id': 'HOO_000150', 'name': 'Public Design Commission', 'score': None}]",ops
Public Online Capital Projects Database Task Force,,,,,,,,,,Public Online Capital Projects Database Task Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,public online capital projects database task force,OPS_000180,Public Online Capital Projects Database Task Force,Board/Commission,ops,,,,,ops
Public Realm,,,,,,,,,,Public Realm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,public realm,OPS_000076,Public Realm,Mayoral unit/office,ops,,,,,ops
"Public Realm Improvement Fund Governing Group, Inc.",,,,,,,,,,"Public Realm Improvement Fund Governing Group, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,public realm improvement fund governing group inc,OPS_000319,"Public Realm Improvement Fund Governing Group, Inc.",Board/Commission,ops,,,,,ops
Public Administrator - Queens County,,,,,Public Administrator - Queens County (QPA),,,,,Queens County Public Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,queens county public administrator,OPS_000412,Queens County Public Administrator,Independent,ops,"Lois M. Rosenblatt, Esq",Public Administrator,http://www.queenscountypa.com/contact-us/,"[""OPS_000412"", ""REC_000215""]",ops
Queens Public Library,Queens Public Library,,Queens Borough Public Library,Queens Public Library,"Library, Queens Public (QL)",Queens Library (QBPL),"Library, Queens Public (QL)","Library, Queens Public (QL)",Queens Library (QPL),Queens Public Library; Queens Borough Public Library Board of Trustees,Queens Public Library,Active,Non-Governmental Organization,"The Queens Library provides an online catalog, activities for kids and teens, online research, and an events calendar in a variety of languages.",http://www.queenslibrary.org/,,,New York State Law,,,,,,QL,,39.0,Dennis M. Walcott,President and CEO,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Queens+Library+%28QBPL%29,,1896.0,,queens-public-library,2024-07-29,,,Queens Public Library (QL),Queens Public Library (QL),Dennis,Walcott,queens public library,OPS_000413,Queens Public Library,Independent,ops,Dennis M. Walcott,President & CEO,Contact Us | Queens Public Library (queenslibrary.org),"[""OPS_000413"", ""OPS_000325"", ""REC_000100""]",ops
Racial Justice Charter Revision Commission,,,,,,,,,,Racial Justice Charter Revision Commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,racial justice charter revision commission,OPS_000335,Racial Justice Charter Revision Commission,Board/Commission,ops,,,,,ops
Racial Justice Commission,,,,,,,,,,Racial Justice Commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,racial justice commission,OPS_000334,Racial Justice Commission,Board/Commission,ops,,,,,ops
Randall's Island Park Alliance ,,,,,,,,,,Randall's Island Park Alliance ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,randalls island park alliance,OPS_000328,Randall's Island Park Alliance ,Board/Commission,ops,,,,,ops
Real Estate Advisory Board,,,,,,,,,,Real Estate Advisory Board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,real estate advisory board,OPS_000329,Real Estate Advisory Board,Board/Commission,ops,,,,,ops
In Rem Foreclosure Board,,,,,,,,,,In Rem Foreclosure Board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rem foreclosure board,OPS_000255,In Rem Foreclosure Board,Board/Commission,ops,,,,,ops
Rent Guidelines Board,Rent Guidelines Board,Rent Guidelines Board,,Rent Guidelines Board,Rent Guidelines Board (RGB),,Rent Guidelines Board (RGB),Rent Guidelines Board (RGB),Rent Guidelines Board (RGB),Rent Guidelines Board,Rent Guidelines Board,Active,"Advisory, Oversight, or Regulatory Body",The Rent Guidelines Board provides information on renewal-lease guidelines for rent stabilized apartments in New York City.,https://rentguidelinesboard.cityofnewyork.us/,,Independent,New York State Law,"Chapter 1974, Section 4",https://www.nysenate.gov/legislation/laws/ETP/4,"Establishment of rent guidelines boards; duties. a. In each county wherein any city having a population of less than one million or any town or village has determined the existence of an emergency pursuant to section three of this act, there shall be created a rent guidelines board to consist of nine members appointed by the commissioner of housing and community renewal upon recommendation of the county legislature, except that a rent guidelines board created subsequent to the effective date of the chapter of the laws of two thousand nineteen that amended this section shall consist of nine members appointed by the commissioner of housing and community renewal upon recommendations of the local legislative body of each city having a population of less than one million or town or village which has determined the existence of an emergency pursuant to section three of this act. Such recommendation shall be made within thirty days after the first local declaration of an emergency in such county; two such members shall be representative of tenants, two shall be representative of owners of property, and five shall be public members each of whom shall have had at least five years experience in either finance, economics or housing. One public member shall be designated by the commissioner to serve as chairman and shall hold no other public office. No member, officer or employee of any municipal rent regulation agency or the state division of housing and community renewal and no person who owns or manages real estate covered by this law or who is an officer of any owner or tenant organization shall serve on a rent guidelines board. One public member, one member representative of tenants and one member representative of owners shall serve for a term ending two years from January first next succeeding the date of their appointment; one public member, one member representative of tenants and one member representative of owners shall serve for terms ending three years from the January first next succeeding the date of their appointment and three public members shall serve for terms ending four years from January first next succeeding the dates of their appointment. Thereafter, all members shall serve for terms of four years each. Members shall continue in office until their successors have been appointed and qualified. The commissioner shall fill any vacancy which may occur by reason of death, resignation or otherwise in a manner consistent with the original appointment. A member may be removed by the commissioner for cause, but not without an opportunity to be heard in person or by counsel, in his defense, upon not less than ten days notice. Compensation for the members of the board shall be at the rate of one hundred dollars per day, for no more than twenty days a year, except that the chairman shall be compensated at the rate of one hundred twenty-five dollars a day for no more than thirty days a year. The board shall be provided staff assistance by the division of housing and community renewal. The compensation of such members and the costs of staff assistance shall be paid by the division of housing and community renewal which shall be reimbursed in the manner prescribed in section four of this act. The local legislative body of each city having a population of less than one million and each town and village in which an emergency has been determined to exist as herein provided shall be authorized to designate one person who shall be representative of tenants and one person who shall be representative of owners of property to serve at its pleasure and without compensation to advise and assist the county rent guidelines board in matters affecting the adjustment of rents for housing accommodations in such city, town or village as the case may be.",,,RGB,,,Andrew McLaughlin,Executive Director,,,1969.0,,rent-guidelines-board,2024-07-29,,,Rent Guidelines Board (RGB),Rent Guidelines Board (RGB),Andrew,McLaughlin,rent guidelines board,OPS_000330,Rent Guidelines Board,Board/Commission,ops,Andrew McLaughlin,Executive Director,https://rentguidelinesboard.cityofnewyork.us/about/contact-the-rent-guidelines-board/,"[{'id': 'HOO_000153', 'name': 'Rent Guidelines Board (RGB)', 'score': None}]",ops
Rental Horse Advisory Board,Mental Hygiene Advisory Board,,,,,,,,,Rental Horse Advisory Board,,Active,"Advisory, Oversight, or Regulatory Body",,,,Independent,New York City Charter,"Chapter 22, Section 568",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-2129,"There shall be a mental hygiene advisory board which shall be advisory to the commissioner and the deputy commissioner for mental hygiene services in the development of community mental health, intellectual and developmental disability, alcoholism and substance abuse facilities and services and programs related thereto. The board shall have separate subcommittees for mental health, for developmental disabilities, and for alcoholism and substance abuse. The board and its subcommittees shall be constituted and their appointive members appointed and removed in the manner prescribed for a community services board by the provisions of the mental hygiene law. Pursuant to the provisions of such law, such members may be reappointed without limitation on the number of consecutive terms which they may serve.",,,,,,,,,,2002.0,,mental-hygiene-advisory-board,2024-07-29,,,Mental Hygiene Advisory Board,Mental Hygiene Advisory Board,,,rental horse advisory board,OPS_000331,Rental Horse Advisory Board,Board/Commission,ops,,,,"[""OPS_000331"", ""REC_000145""]",ops
Residential Mortgage Insurance Corporation ,,,,,,,,,,Residential Mortgage Insurance Corporation ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,residential mortgage insurance corporation,OPS_000336,Residential Mortgage Insurance Corporation ,Board/Commission,ops,,,,,ops
Retirement Savings Board,,,,,,,,,,Retirement Savings Board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,retirement savings board,OPS_000337,Retirement Savings Board,Board/Commission,ops,,,,,ops
Public Administrator - Richmond County,,,,,Public Administrator - Richmond County (RCPA),,,,,Richmond County Public Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,richmond county public administrator,OPS_000414,Richmond County Public Administrator,Independent,ops,"Edwina Frances Martin, Esq.",Commissioner & Public Administrator ,https://www.nyc.gov/site/rcpa/contact/contact.page,"[""OPS_000414"", ""REC_000216""]",ops
Rikers Island Advisory Committee,,,,,,,,,,Rikers Island Advisory Committee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rikers island advisory committee,OPS_000332,Rikers Island Advisory Committee,Board/Commission,ops,,,,,ops
Roosevelt Island Operating Corporation,,,,,,,,,,Roosevelt Island Operating Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,roosevelt island operating corporation,OPS_000333,Roosevelt Island Operating Corporation,Board/Commission,ops,,,,,ops
Sales Tax Asset Receivable Corporation,Sales Tax Asset Receivable Corporation,,,,Sales Tax Asset Receivable Corporation (STAR),,Sales Tax Asset Receivable Corporation (STAR),Sales Tax Asset Receivable Corporation (STAR),,Sales Tax Asset Receivable Corporation,,Active,Authority or Public Benefit Corporation,The Sales Tax Asset Receivable Corporation is a local development corporation created in 2004 by the City of New York to issue bonds to provide for the payment of the outstanding bonds of the Municipal Assistance Corporation of the City of New York and the outstanding bonds of the City held by MAC.,https://www1.nyc.gov/site/starcorp/index.page,,,New York State Law,,,,,,STAR,,,David Womack,President,,,2004.0,,sales-tax-asset-receivable-corporation,2024-07-29,,,Sales Tax Asset Receivable Corporation (STAR),Sales Tax Asset Receivable Corporation (STAR),David,Womack,sales tax asset receivable corporation,OPS_000415,Sales Tax Asset Receivable Corporation,Independent,ops,David Womack,President ,https://www.nyc.gov/site/starcorp/about/contact-the-star.page,"[{'id': 'HOO_000154', 'name': 'Sales Tax Asset Receivable Corporation (STAR)', 'score': None}]",ops
School Construction Authority,School Construction Authority,,SCHOOL CONSTRUCTION AUTHORITY,"School Construction Authority, NYC",School Construction Authority (SCA),School Construction Authority (SCA),School Construction Authority (SCA),School Construction Authority (SCA),School Construction Authority (SCA),School Construction Authority,School Construction Authority,Active,Authority or Public Benefit Corporation,"The School Construction Authority (SCA) is the one agency accountable for new school construction and major renovations to older schools. SCA is responsible for all capital planning, budgeting, design, and operations. SCA coordinates the development of the Department of Education’s Five-Year Capital Plan, selects and acquires sites for new schools, leases buildings for schools and supervises conversion of administrative space for classroom use.",http://www.nycsca.org/,,,New York State Law,,,,,,SCA,,44.0,Nina Kubota,President and CEO,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=School+Construction+Authority+%28SCA%29,,1988.0,,school-construction-authority,2024-07-29,,,School Construction Authority (SCA),School Construction Authority (SCA),Nina,Kubota,school construction authority,OPS_000134,School Construction Authority,Agency,ops,Nina Kubota,President and CEO,https://www.nycsca.org/Footer/Contact-Us,"[{'id': 'HOO_000156', 'name': 'School Construction Authority (SCA)', 'score': None}]",ops
School Construction Authority - Board of Trustees,,,,,,,,,,School Construction Authority- Board of Trustees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,school construction authority board of trustees,OPS_000343,School Construction Authority- Board of Trustees,Board/Commission,ops,,,,,ops
Senior Advisory Council,,,,,,,,,,Senior Advisory Council,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,senior advisory council,OPS_000340,Senior Advisory Council,Board/Commission,ops,,,,,ops
Sexual Health Education Task Force,,,,,,,,,,Sexual Health Education Task Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sexual health education task force,OPS_000345,Sexual Health Education Task Force,Board/Commission,ops,,,,,ops
