Name,NameAlphabetized,Name - HOO,URL,Description,PrincipalOfficerName,PrincipalOfficerTitle,ParentOrganization,AlternateNames,Acronym,AlternateAcronyms,BudgetCode,OpenDatasetsURL,FoundingYear,Name - Checkbook,Name - Greenbook,Name - NYC Open Data Portal,Name - NYC.gov Agency List,Name - NYC.gov Mayor's Office,Name - Ops,Name - WeGov
New York City Children's Cabinet ,Children's Cabinet,NYC Children's Cabinet,https://www1.nyc.gov/site/childrenscabinet/index.page,"The NYC Children’s Cabinet enables coordination and communication between government agencies and other partners that serve the City’s youth. Its mission is to help align City efforts and resources towards ensuring that all of New York City’s children can reach healthy, successful adulthood.",Megan Tackney,Executive Director,Mayor's Office,,,,,,2014.0,,,,NYC Children's Cabinet,NYC Children's Cabinet,New York City Children's Cabinet ,Children's Cabinet
New York City Districting Commission,Districting Commission,,https://www.nyc.gov/site/districting/index.page,,,,,,,,,,,Districting Commission,,,,,New York City Districting Commission,
NYC Emergency Management,"Emergency Management, NYC",NYC Emergency Management,http://www.nyc.gov/oem,"NYC OEM plans and prepares for emergencies, educates the public about preparedness, coordinates emergency response and recovery, and collects and disseminates emergency information.",Zachary Iscol,Commissioner,Mayor's Office,Emergency Management Department; New York City Office of Emergency Management,NYCEM,OEM,17.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=NYC+Emergency+Management+%28NYCEM%29,1996.0,Department of Emergency Management,"Emergency Management, NYC",NYC Emergency Management (NYCEM),NYC Emergency Management,NYC Emergency Management,NYC Emergency Management,Department of Emergency Management
New York City Employees' Retirement System Pension Fund Board of Trustees,,,,,,,,,,,,,,,,,,,New York City Employees' Retirement System Pension Fund Board of Trustees,
NYC Health + Hospitals,"Health + Hospitals, NYC",NYC Health + Hospital,http://www.nyc.gov/hhc,,Dr. Mitchell Katz,President and CEO,,,HH,,819.0,,1969.0,Health and Hospitals Corporation,"Health + Hospitals NYC, (NYC H+H)",,NYC Health + Hospitals,NYC Health + Hospitals,NYC Health + Hospitals,Health and Hospitals Corporation
New York City Housing Authority,"Housing Authority, New York City","Housing Authority, New York City (NYCHA)",http://www.nyc.gov/nycha,"The New York City Housing Authority (NYCHA) provides affordable housing to nearly 420,000 low- and moderate-income City residents in 345 housing developments with 180,000 apartments in the five boroughs. Through federal rent subsidies (Section 8 Leased Housing Program), the Authority assists over 87,500 families in locating and renting housing in privately owned buildings. In addition, the Authority provides social services for its residents through 112 community centers, 42 senior centers, and a variety of programs.",Lisa Bova-Hiatt,Chief Executive Officer,,,NYCHA,,,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=New+York+City+Housing+Authority+%28NYCHA%29,1934.0,,"Housing Authority, NYC",New York City Housing Authority (NYCHA),"Housing Authority, New York City (NYCHA)","Housing Authority, New York City (NYCHA)",NYC Housing Authority,NYC Housing Authority
New York City Housing Authority Board,,,,,,,,,,,,,,,,,,,New York City Housing Authority Board,
NYC Media,NYC Media,,http://www.nyc.gov/media,"NYC Media, part of the Mayor's Office of Media and Entertainment, is the official TV, radio and online network of New York City, informing, educating and entertaining New Yorkers about the City's diverse people and neighborhoods, government, services, attractions and activities. As a unique public media entity, NYC Media produces award-winning content that is accountable, useful and compelling. ",Karen Johnson,Interim General Manager,Mayor's Office of Media and Entertainment,,,,,,2003.0,,,,"Media, NYC","Media, NYC",,NYC Media
New York City Municipal Insurance Company,,,,,,,,,,,,,,,,,,,New York City Municipal Insurance Company,
New York City Panel on Climate Change,,,,,,,,,,,,,,,,,,,New York City Panel on Climate Change,
New York City Public Housing Preservation Trust,,,,,,,,,,,,,,,,,,,New York City Public Housing Preservation Trust,
"New York City School Bus Umbrella Services, Inc.",,,,,,,,,,,,,,,,,,,"New York City School Bus Umbrella Services, Inc.",
New York City School Support Services,,,,,,,,,,,,,,,,,,,New York City School Support Services,
NYC Service,,NYC Service,,,,,,,,,,,,,,,,,NYC Service,
NYC Tourism + Conventions,NYC Tourism + Conventions,NYC Tourism + Conventions,,,,,,,,,,,1999.0,,,,,,New York City Tourism and Conventions (formerly known New York City & Company Board),
New York City Transit Riders Council,,,,,,,,,,,,,,,,,,,New York City Transit Riders Council,
NYC Transitional Finance Authority,Transitional Finance Authority,"Transitional Finance Authority, New York City (TFA)",http://www.nyc.gov/tfa,The New York City Transitional Finance Authority is a public benefit corporation created in 1997 to fund a portion of the capital program of the City of New York and to facilitate the capital finance program of the City.,David Womack,Executive Director,,,TFA,,,,1997.0,,"Transitional Finance Authority, NYC",,"Transitional Finance Authority, New York City (TFA)","Transitional Finance Authority, New York City (TFA)",NYC Transitional Finance Authority,Transitional Finance Authority
New York City Watershed Protection and Partnership Council,,,,,,,,,,,,,,,,,,,New York City Watershed Protection and Partnership Council,
New York Community Trust Distribution Committee,,,,,,,,,,,,,,,,,,,New York Community Trust Distribution Committee,
New York County Public Administrator,,Public Administrator - New York County (NYCountyPA),,,,,,,,,,,,,,,,,New York County Public Administrator,
New York Public Library,New York Public Library,"Library, New York Public (NYPL)",http://www.nypl.org/,"Library services are provided through three independent systems: the Brooklyn Public Library, the New York Public Library, and the Queens Library. These systems operate 208 local library branches throughout the City and four research library centers in Manhattan. The libraries offer free and open access to books, periodicals, electronic resources, and non-print materials. Reference and career services; Internet access; and educational, cultural, and recreational programming for adults, young adults, and children are also provided. The libraries’ collections include 377 electronic databases and more than 65 million books, periodicals, and other circulating and reference items.",Anthony W. Marx,President and CEO,,,NYPL,,37.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=New+York+Public+Library+%28NYPL%29,1895.0,New York Public Library,New York Public Library,New York Public Library (NYPL),"Library, New York Public (NYPL)","Library, New York Public (NYPL)",New York Public Library,New York Public Library
New York Research Libraries,New York Research Libraries,,,,,,,,,,,,1895.0,New York Research Libraries,,,,,,
Nightlife Advisory Board,,,,,,,,,,,,,,,,,,,Nightlife Advisory Board,
Nonprofit Advisory Council,,,,,,,,,,,,,,,,,,,Nonprofit Advisory Council,
Mayor's Office of Nonprofit Services,,"Nonprofit Services, Mayor's Office of (MONS)",,,,,,,MONS,,,,,,,,,,,
Nuclear Disarmament and Nuclear Weapons-Free Zone Advisory Committee,,,,,,,,,,,,,,,,,,,Nuclear Disarmament and Nuclear Weapons-Free Zone Advisory Committee,
NYPD Domestic and Gender-Based Violence Training Committee,,,,,,,,,,,,,,,,,,,NYPD Domestic and Gender-Based Violence Training Committee,
NYPD Pension Fund Board of Trustees,,,,,,,,,,,,,,,,,,,NYPD Pension Fund Board of Trustees,
Office Conversions Task Force,,,,,,,,,,,,,,,,,,,Office Conversions Task Force,
Office of the Actuary,"Actuary, New York City Office of the","Actuary, NYC Office of the (NYCOA)",http://www.nyc.gov/actuary,"The New York City Office of the Actuary (""NYCOA"") provides actuarial information and services for the five major actuarially-funded New York City Retirement Systems (""NYCERS""), nine Variable Supplement Funds (""VSFs""), two Tax Deferred Annuity (""TDA"") Programs, six Group Life Insurance Funds, three Closed Pension Funds and the New York City Health Benefits Program.",Marek Tyszkiewicz,Chief Actuary,,,NYCOA,,8.0,,1914.0,Office of the Actuary,"Actuary, Office of",,"Actuary, NYC Office of the (NYCOA)","Actuary, NYC Office of the (NYCOA)",Office of the Actuary,Office of the Actuary
Office of Administrative Justice Coordinator,"Administrative Justice Coordinator, Office of","Administrative Justice Coordinator, NYC Office of (AJC)",http://www.nyc.gov/ajc,"The Office of the Administrative Justice Coordinator (AJC) works to improve the professionalism, efficiency, transparency, and accountability of the City's administrative tribunals. The Office works with the tribunals to establish and implement Rules of Conduct for Administrative Law Judges, improve the training and recruitment of Administrative Law Judges, and enhance the public's understanding of and access to the administrative justice system.",David Goldin,Administrative Justice Coordinator,Mayor's Office,,AJC,,,,,,,,"Administrative Justice Coordinator, NYC Office of  (AJC)","Administrative Justice Coordinator, NYC Office of  (AJC)",Office of Administrative Justice Coordinator,Office of Administrative Justice Coordinator
Office of Administrative Tax Appeals,"Administrative Tax Appeals, Office of","Administrative Tax Appeals, Office of",http://www.nyc.gov/oata,"The Office of Administrative Tax Appeals was established by Local Law 57 of 2007 to bring together the agencies that provide fair, independent and efficient appeals of the taxes administered by the City of New York.",Frances Henn,Director,Mayor's Office,,OATA,,21.0,,2007.0,Office of Administrative Tax Appeals,"Tax Appeals, Office Of Administrative",,"Administrative Tax Appeals, Office of","Administrative Tax Appeals, Office of",Office of Administrative Tax Appeals,Office of Administrative Tax Appeals
Office of Administrative Trials and Hearings,"Administrative Trials and Hearings, Office of","Administrative Trials and Hearings, Office of (OATH)",http://www.nyc.gov/oath, The NYC Office of Administrative Trials and Hearings (OATH) is an independent city agency responsible for holding administrative hearings on cases that are filed by other NYC agencies. OATH is comprised of four different administrative tribunals: the Environmental Control Board; OATH Health Tribunal; OATH Taxi Tribunal and OATH Tribunal.,Asim Rehman,Commissioner,Mayor's Office,,OATH,,820.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Office+of+Administrative+Trials+and+Hearings+%28OATH%29,1979.0,Office of Administrative Trials and Hearings,"Administrative Trials And Hearings, Office of",Office of Administrative Trials and Hearings (OATH),"Administrative Trials and Hearings, Office of (OATH)","Administrative Trials and Hearings, Office of (OATH)",Office of Administrative Trials and Hearings,Office of Administrative Trials and Hearings
Office of Asylum Seeker Operations,"Asylum Seeker Operations, Office of","Asylum Seeker Operations, Office of",https://www.nyc.gov/site/asylumseekers/index.page,"The NYC Office of Asylum Seeker Operations (OASO) work recognizes the city’s response to the emerging asylum seekers’ migration from the border to our city. Created in March 2023, OASO is primarily responsible for overseeing and coordinating all support services for asylum seekers and their families. ",Molly Schaeffer,Director,Mayor's Office,,OASO,,,,2023.0,,,,"Asylum Seeker Operations, Office of","Asylum Seeker Operations, Office of",Office of Asylum Seeker Operations,
Office of Building Energy and Emissions Performance,"Building Energy and Emissions Performance, Office of",,,,,,Department of Buildings,,,,,,2019.0,,,,,,,
Office of Capital Project Development,"Capital Project Development, Office of",,,,,,Mayor's Office,,,,,,,,,,,,Office of Capital Project Development,
Office of the Chief Medical Examiner,"Chief Medical Examiner, Office of the","Chief Medical Examiner, NYC Office of (OCME)",http://www.nyc.gov/ocme,"OCME is responsible for investigating deaths occurring in any suspicious or unusual manner, provides additional forensic services, and manages the City mortuary.",Dr. Jason Graham,Chief Medical Examiner,Department of Health and Mental Hygiene,,OCME,,,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Office+of+Chief+Medical+Examiner+%28OCME%29,1918.0,,"Medical Examiner, Office of Chief, Institute of Forensic Sciences",Office of Chief Medical Examiner (OCME),"Chief Medical Examiner, NYC Office of (OCME)","Chief Medical Examiner, NYC Office of (OCME)",Office of the Chief Medical Examiner,Office of Chief Medical Examiner
Office of Childcare and Early Childhood Education,"Child Care and Early Childhood Education, Mayor's Office for","Child Care and Early Childhood Education, Office for (OCCECE)",https://www.nyc.gov/site/childcare/index.page,"The Office for Child Care and Early Childhood Education’s mission is to ensure New York City families have access to equitable, high-quality, and affordable early education and care and builds off of Mayor Adams’ Blueprint for Child Care and Early Childhood Education.",,,Mayor's Office,,OCCECE,,2.0,,2023.0,,,,"Child Care and Early Childhood Education, Office for (OCCECE)","Child Care and Early Childhood Education, Office for (OCCECE)",Office of Childcare and Early Childhood Education,
Office of the City Clerk,"City Clerk, Office of the","City Clerk, Office of the (CLERK)",,,,,City Council,,,,,,,,,,,,Office of the City Clerk,
Office of Collective Bargaining,"Collective Bargaining, Office of",,https://www.ocb-nyc.org/,,,,Mayor's Office,,OCB,,313.0,,1967.0,Office of Collective Bargaining,"Collective Bargaining, Office of",,,,,Office of Collective Bargaining
Office of Community Hiring,"Community Hiring, Office of","Community Hiring, Office of",https://www.nyc.gov/site/communityhiring/index.page,The Office of Community Hiring (OCH)'s mission is to use the City's purchasing power to drive economic mobility by connecting City vendors with a pipeline of talent and creating pathways to careers for our community.,Douglas Lipari,Executive Director,Mayor's Office of Talent and Workforce Development,,,,,,2023.0,,,,"Community Hiring, Office of","Community Hiring, Office of",Office of Community Hiring,
Office of Community Mental Health,"Community Mental Health, Mayor's Office of",Mayor's Office of Community Mental Health,https://mentalhealth.cityofnewyork.us/,"The Mayor’s Office of Community Mental Health promotes mental health for all New Yorkers.  The office works to ensure New Yorkers get the mental health treatment they need and fewer mental health needs become crises.

",Eva Wong,Director,Mayor's Office,,OCMH,,2.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Mayor%27s+Office+of+Community+Mental+Health+%28OCMH%29,2022.0,,,Mayor’s Office of Community Mental Health (OCMH),Mayor’s Office of Community Mental Health,Mayor’s Office of Community Mental Health,Office of Community Mental Health,Office of Community Mental Health
Office of Creative Communications,"Creative Communications, Office of",,,,,,Mayor's Office,,,,,,2019.0,,,,,,,
Office of Crime Victim Services,"Crime Victim Services, Office of",,https://criminaljustice.cityofnewyork.us/programs/ocvs/,,,,Mayor's Office of Criminal Justice,,,,,,2017.0,,,,,,,
Office of Data Analytics,"Data Analytics, Office of",,https://www.nyc.gov/content/oti/pages/data-analytics,,,,Office of Technology and Innovation,Mayor's Office of Data Analytics,ODA,MODA,,,2013.0,,,,,,,Office of Data Analytics
Office of Diversity and Inclusion,"Diversity and Inclusion, Office of",,,,,,Department of Citywide Administrative Services,,,,,,2020.0,,,,,,,
Office of Emerging Markets,"Innovation and Emerging Markets, Mayor's Office of",,,,,,Mayor's Office,,,,2.0,,2023.0,,,,,,Office of Emerging Markets,
Office of Engagement,"Engagement, Mayor's Office of",,,,,,Mayor's Office,,,,2.0,,2022.0,,,,,,Office of Engagement,
Office of Environmental Coordination,"Environmental Coordination, Mayor's Office of","Enviormental Coordination, Mayor's Office of (MOEC)",http://www1.nyc.gov/site/oec/index.page,MOEC's mission is to be a resource for city agencies and private applicants by providing information and assistance in completing the environmental review process and to help the city to lead by example in applying state-of-the-art green building requirements.,Hilary Semel,Director,Mayor's Office,,MOEC,,,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Mayor%27s+Office+of+Environmental+Coordination+%28MOEC%29,2011.0,,,Mayor’s Office of Environmental Coordination (MOEC),"Environmental Coordination, Mayor’s Office of (MOEC)","Environmental Coordination, Mayor’s Office of (MOEC)",Office of Environmental Coordination,Office of Environmental Coordination
Office of Environmental Remediation,"Environmental Remediation, Mayor's Office of",Mayor's Office of Environmental Remediation (OER),http://www.nyc.gov/oer,"The Office of Environmental Remediation (OER) is responsible for the implementation of the brownfield cleanup and redevelopment initiatives outlined in PlaNYC, the City's comprehensive sustainability plan, to support environmental cleanup and economic redevelopment. In August 2010, Mayor Bloomberg launched the New York City Brownfield Cleanup Program (NYC BCP), the nation's first municipal cleanup program, which offers oversight and liability protection to developers and property owners for sites with light to moderate contamination. OER's Brownfield Incentive Grant (BIG) program provides financial incentives and technical support to developers and community organizations. OER also directs the NYC E-Designation Review Program for Hazardous Materials, Air Quality, and Noise and conducts brownfield educational workshops and outreach activities to support meaningful community engagement in brownfields redevelopment. ",Mark McIntyre,Director,Mayor's Office,,OER,,,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Mayor%27s+Office+of+Environmental+Remediation+%28OER%29,2010.0,,,Mayor’s Office of Environmental Remediation (OER),Mayor's Office of Environmental Remediation (OER),Mayor's Office of Environmental Remediation (OER),Office of Environmental Remediation,Office of Environmental Remediation
Office of Faith-Based and Community Partnerships,"Faith-Based and Community Partnerships, Mayor's Office of",,https://www.nyc.gov/site/cfcp/index.page,,,,Community Affairs Unit,,CFP,,2.0,,2022.0,,,,,,Office of Faith-Based and Community Partnerships,
"Office of Film, Theatre, & Broadcasting","Film, Theater & Broadcasting, Office of",,https://www.nyc.gov/site/mome/index.page,,,,Mayor's Office of Media and Entertainment,,FILM,,,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Office+of+Film%2C+Theatre%2C+and+Broadcasting+%28FILM%29,1966.0,,,"Office of Film, Theatre, and Broadcasting (FILM)",,,"Office of Film, Theatre, & Broadcasting","Office of Film, Theater & Broadcasting"
Office of Healthcare Accountability,"Healthcare Accountability, Office of",,,,,,Mayor's Office,,,,,,2023.0,,,,,,,
Office of Information Privacy,"Information Privacy, Office of",,https://www.nyc.gov/content/oti/pages/meet-the-team/information-privacy,,,,Office of Technology and Innovation,MOIP,OIP,,,,2022.0,,,,,,,
Office of the Inspector General for the NYPD,"Inspector General for the NYPD, Office of the","Inspector General NYPD, Office of the",http://www.nyc.gov/oignypd,"The Office of the Inspector General for the NYPD (OIG-NYPD) is charged with investigating, reviewing, studying, auditing and making recommendations relating to the operations, policies, programs and practices of the New York City Police Department (NYPD).",Jeanene Barrett,Acting Inspector General,Department of Investigation,,,,,,2013.0,,,,"Inspector General NYPD, Office of the","Inspector General NYPD, Office of the",Office of Inspector General NYPD,Office of the Inspector General for the NYPD
Office of Labor Relations,"Labor Relations, Office of","Labor Relations, NYC Office of (OLR)",http://www.nyc.gov/olr,The Office of Labor Relations represents the Mayor in all labor relations between the City of New York and labor organizations representing employees of the City. The Office Commissioner also administers a variety of programs for City Employees.,Renee Campion,Commissioner,Mayor's Office,,OLR,,,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Office+of+Labor+Relations+%28OLR%29,1990.0,,"Labor Relations, Office of",Office of Labor Relations (OLR),"Labor Relations, NYC Office of (OLR)","Labor Relations, NYC Office of (OLR)",Office of Labor Relations,Office of Labor Relations
Office of Labor Standards,"Labor Standards, Office of",,,,,,Department of Consumer and Worker Protection,,,,,,2015.0,,,,,,,
Office of Management and Budget,"Management and Budget, Mayor's Office of","Mayor's Office Of Management and Budget, Office of (OMB)",http://www.nyc.gov/omb,OMB is responsible for preparing the Mayor's Preliminary and Executive Budgets and advises the Mayor on issues affecting the City's fiscal health and the efficiency of City services and programs.,"Jacques Jiha, Ph.D.",Director,Mayor's Office,,OMB,,2.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Mayor%27s+Office+of+Management+%26+Budget+%28OMB%29,1927.0,,"Management & Budget, Office of",Mayor’s Office of Management & Budget (OMB),"Mayor's Office Of Management and Budget, Office of (OMB)","Mayor's Office Of Management and Budget, Office of (OMB)",Office of Management and Budget,Office of Management and Budget
Office of Marine Debris Disposal and Vessel Surrendering,"Marine Debris Disposal and Vessel Surrendering, Office of",,,,,,Department of Parks and Recreation,,,,,,2023.0,,,,,,,
Office of Neighborhood Safety,"Neighborhood Safety, Office of",,,,,,Mayor's Office of Criminal Justice,Office for Neighborhood Safety and the Prevention of Gun Violence (partial),,,,,2014.0,,,,,,,
Office of Payroll Administration,"Payroll Administration, Office of","Payroll Administration, Office of (OPA)",https://www.nyc.gov/site/opa/index.page,,,,Mayor's Office,,OPA,,,,1898.0,,,,,,Office of Payroll Administration,
Office of Payroll Administration Board,,,,,,,,,,,,,,,,,,,Office of Payroll Administration Board,
Office of Recovery and Resiliency,"Recovery and Resiliency, Office of",,,,,,Mayor's Office of Climate and Environmental Justice,,,,,,2014.0,,,,,,,Office of Recovery & Resiliency
Office of Scheduling and Executive Operations,"Scheduling and Executive Operations, Office of",,,,,,Mayor's Office,,,,,,2007.0,,,,,,,
Office of Street Vendor Enforcement,"Street Vendor Enforcement, Office of",,https://www.nyc.gov/site/dsny/what-we-do/cleaning/street-vending-enforcement.page,,,,Department of Sanitation,,,,,,2021.0,,,,,,,
Office of Technology and Innovation,"Technology and Innovation, Office of","Office of Technology and Innovation, New York City",https://www.nyc.gov/content/oti/pages/,"The Office of Technology and Innovation (OTI) creates tech-based solutions for a more effective, future-ready New York City. We make services work better across all sectors, from emergency services to benefits screening. We pool combined expertise from across the City to get stuff done for all New Yorkers.
",Matthew C. Fraser,Chief Technology Officer (CTO),Mayor's Office,Department of Information Technology and Telecommunications,OTI,DoITT,858.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Office+of+Technology+and+Innovation+%28OTI%29,2022.0,,Office of Technology & Innovation,Office of Technology and Innovation (OTI),"Technology and Innovation, NYC Office of (OTI)","Technology and Innovation, NYC Office of (OTI)",Office of Technology and Innovation,Office of Technology and Innovation
Office of the Tenant Advocate,"Tenant Advocate, Office of the",,,,,,Department of Buildings,,,,,,2017.0,,,,,,,
Office for Prevention of Hate Crimes,"Prevention of Hate Crimes, Mayor's Office for the","Prevention of Hate Crimes, Office for (OPHC)",https://www1.nyc.gov/site/stophate/index.page,"The Office for the Prevention of Hate Crimes (OPHC) takes a holistic approach to preventing hate crimes, developing and coordinating community-driven prevention strategies to address biases fueling such crimes, and fostering healing for victims and their communities.",,Executive Director,Mayor's Office,,OPHC,,,,2019.0,,,,"Prevention of Hate Crimes, Office for (OPHC)","Prevention of Hate Crimes, Office for (OPHC)",Office for Prevention of Hate Crimes,Office for the Prevention of Hate Crimes
Opioid Settlement Fund Advisory Board,,,,,,,,,,,,,,,,,,,Opioid Settlement Fund Advisory Board,
Panel on Educational Policy,,,,,,,,,,,,,,,,,,,Panel on Educational Policy,
Pay Equity Cabinet,Pay Equity Cabinet,,https://www.nyc.gov/content/genderequity/pages/economic-mobility-opportunity,,,,Mayor's Office,,PEC,,,,2021.0,,,,,,Pay Equity Cabinet,
Police Department,Police Department,"Police Department, New York City (NYPD)",http://www.nyc.gov/nypd,"The Police Department (NYPD) is committed to providing, with the utmost integrity and respect, a safe and secure environment for the public. The personnel assigned to the Department's 76 precincts, 12 Transit Districts, nine Housing Police Service Areas and other investigative and specialized units, protect life and deter crime while responding to emergency calls and impartially enforcing the law.",Edward A. Caban,Commissioner,Mayor's Office,,NYPD,,56.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Police+Department+%28NYPD%29,1845.0,Police Department,Police Department,Police Department (NYPD),"Police Department, New York City (NYPD)","Police Department, New York City (NYPD)",Police Department,Police Department
Primary Care Development Corporation,,,,,,,,,,,,,,,,,,,Primary Care Development Corporation,
Procurement Policy Board,Procurement Policy Board,Procurement Policy Board (PPB),https://www.nyc.gov/site/mocs/regulations/ppb.page,"The Procurement Policy Board (PPB) is authorized to promulgate rules governing the procurement of goods, services, and construction by the City of New York under Chapter 13 of the Charter of the City of New York.",Guillermo Chacón,Chair,,,PPB,,,,1989.0,,,,Procurement Policy Board (PPB),Procurement Policy Board (PPB),Procurement Policy Board,Procurement Policy Board
Property Tax Debt Resolution Task Force,,,,,,,,,,,,,,,,,,,Property Tax Debt Resolution Task Force,
Prospect Park Alliance ,,,,,,,,,,,,,,,,,,,Prospect Park Alliance ,
Public Administrator - Bronx County,,Public Administrator - Bronx County (BCPA),,,,,,,,,,,,,,,,,Public Administrator - Bronx County,
Public Advocate,"Public Advocate, Office of the",Public Advocate (PUB ADV),http://pubadvocate.nyc.gov/,"The Office of Public Advocate for the City of New York is a citywide elected position in New York City, which is first in line to succeed the Mayor. The office serves as a direct link between the electorate and city government, effectively acting as an ombudsman, or ""watchdog,"" for New Yorkers by providing oversight for city agencies, investigating citizens' complaints about city services and making proposals to address perceived shortcomings or failures of those services.",Jumaane Williams,Public Advocate,Mayor's Office of Climate and Environmental Justice,,PUB ADV,,101.0,,1989.0,Public Advocate,Public Advocate for the City of New York,,Public Advocate (PUB ADV),Public Advocate (PUB ADV),Public Advocate,Public Advocate
Public Design Commission,Public Design Commission,Public Design Commission,http://www.nyc.gov/designcommission,"Established in 1898 as the Art Commission, New York City’s design review agency was renamed the Design Commission in July 2008 to better reflect its mission. The Design Commission reviews permanent works of art, architecture and landscape architecture proposed on or over City-owned property. The Commission also acts as caretaker and curator of the City’s public art collection and maintains an extensive archive documenting the history of New York City’s public works.",Sreoshy Banerjea,Executive Director,,Art Commission,PDC,,,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Public+Design+Commission+%28PDC%29,1898.0,,,Public Design Commission (PDC),Public Design Commission,Public Design Commission,Public Design Commission,Public Design Commission
Public Online Capital Projects Database Task Force,,,,,,,,,,,,,,,,,,,Public Online Capital Projects Database Task Force,
Public Realm,,,,,,,,,,,,,,,,,,,Public Realm,
"Public Realm Improvement Fund Governing Group, Inc.",,,,,,,,,,,,,,,,,,,"Public Realm Improvement Fund Governing Group, Inc.",
Public Administrator - Queens County,,Public Administrator - Queens County (QPA),,,,,,,,,,,,,,,,,Queens County Public Administrator,
Queens Public Library,Queens Public Library,"Library, Queens Public (QL)",http://www.queenslibrary.org/,"The Queens Library provides an online catalog, activities for kids and teens, online research, and an events calendar in a variety of languages.  ",Dennis M. Walcott,President and CEO,,,QL,,39.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Queens+Library+%28QBPL%29,1896.0,Queens Borough Public Library,Queens Public Library,Queens Library (QBPL),"Library, Queens Public (QL)","Library, Queens Public (QL)",Queens Public Library; Queens Borough Public Library Board of Trustees,Queens Public Library
Racial Justice Charter Revision Commission,,,,,,,,,,,,,,,,,,,Racial Justice Charter Revision Commission,
Racial Justice Commission,,,,,,,,,,,,,,,,,,,Racial Justice Commission,
Randall's Island Park Alliance ,,,,,,,,,,,,,,,,,,,Randall's Island Park Alliance ,
Real Estate Advisory Board,,,,,,,,,,,,,,,,,,,Real Estate Advisory Board,
In Rem Foreclosure Board,,,,,,,,,,,,,,,,,,,In Rem Foreclosure Board,
Rent Guidelines Board,Rent Guidelines Board,Rent Guidelines Board (RGB),https://rentguidelinesboard.cityofnewyork.us/,The Rent Guidelines Board provides information on renewal-lease guidelines for rent stabilized apartments in New York City.,Andrew McLaughlin,Executive Director,,,RGB,,,,1969.0,,Rent Guidelines Board,,Rent Guidelines Board (RGB),Rent Guidelines Board (RGB),Rent Guidelines Board,Rent Guidelines Board
Rental Horse Advisory Board,Mental Hygiene Advisory Board,,,,,,,,,,,,2002.0,,,,,,Rental Horse Advisory Board,
Residential Mortgage Insurance Corporation ,,,,,,,,,,,,,,,,,,,Residential Mortgage Insurance Corporation ,
Retirement Savings Board,,,,,,,,,,,,,,,,,,,Retirement Savings Board,
Public Administrator - Richmond County,,Public Administrator - Richmond County (RCPA),,,,,,,,,,,,,,,,,Richmond County Public Administrator,
Rikers Island Advisory Committee,,,,,,,,,,,,,,,,,,,Rikers Island Advisory Committee,
Roosevelt Island Operating Corporation,,,,,,,,,,,,,,,,,,,Roosevelt Island Operating Corporation,
Sales Tax Asset Receivable Corporation,Sales Tax Asset Receivable Corporation,Sales Tax Asset Receivable Corporation (STAR),https://www1.nyc.gov/site/starcorp/index.page,The Sales Tax Asset Receivable Corporation is a local development corporation created in 2004 by the City of New York to issue bonds to provide for the payment of the outstanding bonds of the Municipal Assistance Corporation of the City of New York and the outstanding bonds of the City held by MAC.,David Womack,President,,,STAR,,,,2004.0,,,,Sales Tax Asset Receivable Corporation (STAR),Sales Tax Asset Receivable Corporation (STAR),Sales Tax Asset Receivable Corporation,
School Construction Authority,School Construction Authority,School Construction Authority (SCA),http://www.nycsca.org/,"The School Construction Authority (SCA) is the one agency accountable for new school construction and major renovations to older schools. SCA is responsible for all capital planning, budgeting, design, and operations. SCA coordinates the development of the Department of Education’s Five-Year Capital Plan, selects and acquires sites for new schools, leases buildings for schools and supervises conversion of administrative space for classroom use.",Nina Kubota,President and CEO,,,SCA,,44.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=School+Construction+Authority+%28SCA%29,1988.0,SCHOOL CONSTRUCTION AUTHORITY,"School Construction Authority, NYC",School Construction Authority (SCA),School Construction Authority (SCA),School Construction Authority (SCA),School Construction Authority,School Construction Authority
School Construction Authority - Board of Trustees,,,,,,,,,,,,,,,,,,,School Construction Authority- Board of Trustees,
Senior Advisory Council,,,,,,,,,,,,,,,,,,,Senior Advisory Council,
Sexual Health Education Task Force,,,,,,,,,,,,,,,,,,,Sexual Health Education Task Force,
Shelter Accessibility Advisory Board,,,,,,,,,,,,,,,,,,,Shelter Accessibility Advisory Board,
Sheriff,"City Sheriff, Office of the",NYC Sheriff,,,,,Department of Finance,,,,,,1942.0,,,,,,Sheriff,
