Name,NameAlphabetized,OperationalStatus,PreliminaryOrganizationType,Description,URL,ParentOrganization,NYCReportingLine,AuthorizingAuthority,LegalCitation,LegalCitationURL,LegalCitationText,LegalName,AlternateNames,Acronym,AlternateAcronyms,BudgetCode,PrincipalOfficerName,PrincipalOfficerTitle,OpenDatasetsURL,Notes,FoundingYear,SunsetYear,URISlug,DateCreated,DateModified,LastVerifiedDate,Name - NYC.gov Agency List,Name - NYC.gov Mayor's Office,Name - NYC Open Data Portal,Name - ODA,Name - CPO,Name - WeGov,Name - Greenbook,Name - Checkbook,NameWithAcronym,NameAlphabetizedWithAcronym,PrincipalOfficerGivenName,PrincipalOfficerFamilyName,NameNormalized,RecordID_x,RecordID_y,HeadOfOrganizationTitle,HeadOfOrganizationURL,Name - NYC.gov Redesign,RecordID,Name - Ops,data_source
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jewish advisory council,,,,,,REC_000252,Jewish Advisory Council,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,judiciary mayors advisory committee,,REC_000081,Executive Director ,Advisory Committee on the Judiciary (nyc.gov),"Judiciary, Mayors Advisory Committee on the (MACJ)",REC_000130,,nyc_gov
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,juvenile justice advisory board,,,,,,REC_000258,Juvenile Justice Advisory Board,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kings county public administrator,,,,,,REC_000402,Kings County Public Administrator,ops
Office of Labor Relations,"Labor Relations, Office of",Active,Mayoral Office,The Office of Labor Relations represents the Mayor in all labor relations between the City of New York and labor organizations representing employees of the City. The Office Commissioner also administers a variety of programs for City Employees.,http://www.nyc.gov/olr,Mayor's Office,Chief Counsel to the Mayor and City Hall,New York City Charter,"Chapter 54, Section 1170",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-3430,"There shall be an office of collective bargaining, the head of which shall be the director of such office, who shall be the person holding the office of chairman of the board of collective bargaining. The director may appoint, and at pleasure remove, two deputies.",,,OLR,,,Renee Campion,Commissioner,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Office+of+Labor+Relations+%28OLR%29,,1990.0,,office-of-labor-relations,2024-07-29,,,"Labor Relations, NYC Office of (OLR)","Labor Relations, NYC Office of (OLR)",Office of Labor Relations (OLR),Office of Labor Relations (OLR),Office of Labor Relations,Office of Labor Relations,"Labor Relations, Office of",,Office of Labor Relations (OLR),"Labor Relations, Office of (OLR)",Renee,Campion,labor office relations,REC_000199,,,,,REC_000131,,nyc_agencies_export
Office of Labor Standards,"Labor Standards, Office of",Active,Division,,,Department of Consumer and Worker Protection,Department of Consumer and Worker Protection,New York City Charter,"Chapter 64, Section 2203(e)",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-5706,The office of labor standards shall be established within the department. Such office shall be headed by a director who shall be appointed by the commissioner.,,,,,,,,,,2015.0,,office-of-labor-standards,2024-07-29,,,,,,,,,,,Office of Labor Standards,"Labor Standards, Office of",,,labor office standards,REC_000200,,,,,REC_000132,,nyc_agencies_export
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,land development corporation,,,,,,REC_000261,Land Development Corporation,ops
Landmarks Preservation Commission,Landmarks Preservation Commission,Active,"Advisory, Oversight, or Regulatory Body","The Landmarks Preservation Commission protects and preserves the historically and architecturally significant neighborhoods, buildings and sites that tell the collective story of New York City.   ",http://www.nyc.gov/landmarks,,"Deputy Mayor for Housing, Economic Development and Workforce",New York City Charter,"Chapter 74, Section 3020",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-4431,"There shall be a landmarks preservation commission consisting of eleven members. The membership of such commission shall include at least three architects, one historian qualified in the field, one city planner or landscape architect, and one realtor. The membership shall include at least one resident of each of the five boroughs.",,,LPC,,136.0,Sarah Carroll,Chair,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Landmarks+Preservation+Commission+%28LPC%29,,1962.0,,landmarks-preservation-commission,2024-07-29,,,Landmarks Preservation Commission (LPC),Landmarks Preservation Commission (LPC),Landmarks Preservation Commission (LPC),Landmarks Preservation Commission (LPC),Landmarks Preservation Commission,Landmarks Preservation Commission,Landmarks Preservation Commission,Landmarks Preservation Commission,Landmarks Preservation Commission (LPC),Landmarks Preservation Commission (LPC),Sarah,Carroll,landmarks preservation commission,REC_000099,REC_000083,Chair,Landmarks Preservation Commission (nyc.gov),Landmarks Preservation Commission (LPC),REC_000265,Landmarks Preservation Commission,ops
Latin Media and Entertainment Commission,Latin Media and Entertainment Commission,Active,"Advisory, Oversight, or Regulatory Body",,,,Independent,Mayoral Executive Order,"Executive Order 43, 2003",https://a860-gpp.nyc.gov/concern/nyc_government_publications/9k41zd787?locale=en,This Executive Order by the Mayor announces the establishment of the Commission on Latin Media and Entertainment.,,,LMEC,,,,,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Latin+Media+%26+Entertainment+Commission+%28LMEC%29,,2003.0,,latin-media-and-entertainment-commission,2024-07-29,,,,,Latin Media & Entertainment Commission (LMEC),,,,,,Latin Media and Entertainment Commission (LMEC),Latin Media and Entertainment Commission (LMEC),,,latin media and entertainment commission,REC_000100,,,,,REC_000133,,nyc_agencies_export
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,latin media entertainment commission,,,,,,REC_000259,Latin Media and Entertainment Commission,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,library brooklyn public,,REC_000085,President & CEO,Brooklyn Public Library (bklynlibrary.org),"Library, Brooklyn Public (BPL)",REC_000134,,nyc_gov
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,library new york public,,REC_000086,President & CEO,The New York Public Library (nypl.org),"Library, New York Public (NYPL)",REC_000135,,nyc_gov
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,library queens public,,REC_000087,President & CEO,https://www.queenslibrary.org/,"Library, Queens Public (QL)",REC_000136,,nyc_gov
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,local conditional release commission,,,,,,REC_000260,Local Conditional Release Commission,ops
New York City Loft Board,"Loft Board, New York City",Active,"Advisory, Oversight, or Regulatory Body","The New York City Loft Board resolves issues regarding the legalization for residential use of buildings under the Board's jurisdiction (known as interim multiple dwellings or IMDs), adjudicates proceedings resulting from applications filed by IMD owners and tenants, and enforces minimum housing maintenance standards for IMD buildings.",http://www.nyc.gov/loftboard,,Independent,New York State Law,"Chapter 61-A, Article 7-C, Section 282",https://www.nysenate.gov/legislation/laws/MDW/282,"Establishment of special loft unit. 1. In order to resolve complaints of owners of interim multiple dwellings and of residential occupants of such buildings qualified for the protection of this article, and to act upon hardship applications made pursuant to this article, a special loft unit referred to herein as the ""loft board"" shall be established which shall consist of from four to nine members representative of the public, the real estate industry, loft residential tenants, and loft manufacturing interests, and a chairperson, all to be appointed by the mayor of the municipality and to serve such terms as he may designate. The compensation of the members of the loft board shall be fixed by the mayor. The members of the loft board shall not be considered employees of the state or the municipality, provided, however, that state or municipal employees or officers may be named to the loft board. The mayor shall establish the loft board within ninety days of the effective date of chapter three hundred forty-nine of the laws of nineteen hundred eighty-two. The loft board shall have such office and staff as shall be necessary to carry out functions conferred upon it and may request and receive assistance from any state or municipal agency or department. The loft board shall have the following duties: (i) the determination of interim multiple dwelling status and other issues of coverage pursuant to this article; (ii) the resolution of all hardship appeals brought under this article; (iii) the determination of any claim for rent adjustment under this article by an owner or tenant; (iv) the issuance, after a public hearing, and the enforcement of rules and regulations governing minimum housing maintenance standards in interim multiple dwellings (subject to the provisions of this chapter and any local building code), rent adjustments prior to legalization, compliance with this article and the hearing of complaints and applications made to it pursuant to this article; and (v) determination of controversies arising over the fair market value of a residential tenant's fixtures or reasonable moving expenses.",,,LOFT,,,Martha Cruz,Executive Director,,,1982.0,,new-york-city-loft-board,2024-07-29,,,Loft Board (LOFT),Loft Board (LOFT),,,,New York City Loft Board,,,New York City Loft Board (LOFT),"Loft Board, New York City (LOFT)",Martha,Cruz,loft board,REC_000162,REC_000088,Executive Director & General Counsel ,https://www.nyc.gov/site/loftboard/index.page,Loft Board (LOFT),REC_000264,Loft Board,ops
Lower Manhattan Development Corporation,Lower Manhattan Development Corporation,Active,Authority or Public Benefit Corporation,,http://www.renewnyc.com/,,,New York State Law,,,,,,,,,,,,,2001.0,,lower-manhattan-development-corporation,2024-07-29,,,,,,,,,Lower Manhattan Development Corporation,,Lower Manhattan Development Corporation,Lower Manhattan Development Corporation,,,lower manhattan development corporation,REC_000102,,,,,REC_000263,Lower Manhattan Development Corporation,ops
Made in New York,Made in New York,Active,Non-Governmental Organization,,https://www.madeinnyc.org/,,,New York State Law,,,,,,MINY,,,,,,,2005.0,,made-in-new-york,2024-07-29,,,,,,Made in New York (MINY),,,,,Made in New York (MINY),Made in New York (MINY),,,made in new york,REC_000103,,,,,REC_000138,,nyc_agencies_export
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,marshall plan moms task force,,,,,,REC_000275,Marshall Plan for Moms Task Force,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mayor advisory committee judiciary,,,,,,REC_000266,Mayor's Advisory Committee on the Judiciary,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mayor committee city marshals,,REC_000089,Chair,https://www.nyc.gov/site/marshals/index.page,Mayor's Committee on City Marshals (MCCM),REC_000269,Mayor's Committee on City Marshals,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mayor fund board advisors,,,,,,REC_000267,Mayor's Fund Board of Advisors,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mayor fund board directors,,,,,,REC_000268,Mayor's Fund Board of Directors,ops
Mayor's Office for People with Disabilities,"People with Disabilities, Mayor's Office for",Active,Mayoral Office,MOPD works hand-in-hand with other City agencies to assure that the voice of the disabled community is represented and that City programs and policies address the needs of people with disabilities.,http://www.nyc.gov/mopd,Mayor's Office,Chief Counsel to the Mayor and City Hall,Mayoral Executive Order,"Executive Order 17, 1990",https://a860-gpp.nyc.gov/concern/nyc_government_publications/6969z1010?locale=en,This Executive Order by the Mayor announces the Establishment of the Mayor's Office for People with Disabilities.,,,MOPD,,2.0,Christina Curry,Commissioner,,,1973.0,,mayors-office-for-people-with-disabilities,2024-07-29,,,Mayor's Office for People with Disabilities (MOPD),Mayor's Office for People with Disabilities (MOPD),,Mayor's Office for People with Disabilities (MOPD),Mayor's Office for People with Disabilities,Office for People with Disabilities,,,Mayor's Office for People with Disabilities (MOPD),"People with Disabilities, Mayor's Office for (MOPD)",Christina,Curry,mayor's office for people with disabilities,REC_000112,,,,,REC_000179,,nyc_agencies_export
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medical equity advisory board,,,,,,REC_000271,Medical Equity Advisory Board,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metropolitan transportation authority board directors,,,,,,REC_000277,Metropolitan Transportation Authority Board of Directors,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metropolitan transportation authority capital review board,,,,,,REC_000278,Metropolitan Transportation Authority Capital Review Board,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metropolitan transportation sustainability advisory workgroup,,,,,,REC_000279,Metropolitan Transportation Sustainability Advisory Workgroup,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,moynihan station development corporation,,,,,,REC_000276,Moynihan Station Development Corporation,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multiple dwellings construction task force,,,,,,REC_000270,Multiple Dwellings Construction Task Force,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,municipal insurance company,,,,,,REC_000297,New York City Municipal Insurance Company,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,municipal voting advisory group,,,,,,REC_000284,Municipal Voting Advisory Group,ops
NYC Municipal Water Finance Authority,"Municipal Water Finance Authority, NYC",Active,Authority or Public Benefit Corporation,"The New York City Municipal Water Finance Authority provides funding through the issuance of bonds, bond anticipation notes, and other obligations to finance capital projects related to supplying and purifying the City's high-quality drinking water and maintain safe wastewater collection and treatment.",http://www.nyc.gov/nyw,,,New York State Law,,,,,,NYW,,,David Womack,Chief Executive Officer,,,1984.0,,nyc-municipal-water-finance-authority,2024-07-29,,,"Water Finance Authority, NYC Municipal (NYW)","Water Finance Authority, NYC Municipal (NYW)",,,,NYC Municipal Water Finance Authority,"Water Finance Authority, NYC Municipal",,NYC Municipal Water Finance Authority (NYW),"Municipal Water Finance Authority, NYC (NYW)",David,Womack,municipal water finance authority,REC_000177,,,,,REC_000286,Municipal Water Finance Authority,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mwbe advisory board,,,,,,REC_000285,MWBE Advisory Board,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,new york community trust distribution committee,,,,,,REC_000301,New York Community Trust Distribution Committee,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,new york county public administrator,,,,,,REC_000404,New York County Public Administrator,ops
New York Public Library,New York Public Library,Active,Non-Governmental Organization,"Library services are provided through three independent systems: the Brooklyn Public Library, the New York Public Library, and the Queens Library. These systems operate 208 local library branches throughout the City and four research library centers in Manhattan. The libraries offer free and open access to books, periodicals, electronic resources, and non-print materials. Reference and career services; Internet access; and educational, cultural, and recreational programming for adults, young adults, and children are also provided. The libraries’ collections include 377 electronic databases and more than 65 million books, periodicals, and other circulating and reference items.",http://www.nypl.org/,,,New York State Law,,,,,,NYPL,,37.0,Anthony W. Marx,President and CEO,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=New+York+Public+Library+%28NYPL%29,,1895.0,,new-york-public-library,2024-07-29,,,"Library, New York Public (NYPL)","Library, New York Public (NYPL)",New York Public Library (NYPL),New York Public Library (NYPL),,New York Public Library,New York Public Library,New York Public Library,New York Public Library (NYPL),New York Public Library (NYPL),Anthony,Marx,new york public library,REC_000167,,,,,REC_000307,New York Public Library,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nightlife advisory board,,,,,,REC_000288,Nightlife Advisory Board,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nonprofit advisory council,,,,,,REC_000287,Nonprofit Advisory Council,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nuclear disarmament nuclear weaponsfree zone advisory committee,,,,,,REC_000290,Nuclear Disarmament and Nuclear Weapons-Free Zone Advisory Committee,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nypd domestic genderbased violence training committee,,,,,,REC_000305,NYPD Domestic and Gender-Based Violence Training Committee,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nypd pension fund board trustees,,,,,,REC_000306,NYPD Pension Fund Board of Trustees,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opioid settlement fund advisory board,,,,,,REC_000310,Opioid Settlement Fund Advisory Board,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,panel climate change,,,,,,REC_000289,New York City Panel on Climate Change,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,panel educational policy,,,,,,REC_000313,Panel on Educational Policy,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,payroll administration board,,,,,,REC_000309,Office of Payroll Administration Board,ops
New York City Police Pension Fund,"Police Pension Fund, New York City",Active,Fiduciary Fund,The Police Pension fund provides services to current and retired officers of the New York City Police Department.,http://www.nyc.gov/nycppf,,,New York State,,,,,,PPF,,,Kevin Holloran,Executive Director,,,1857.0,,new-york-city-police-pension-fund,2024-07-29,,,Police Pension Fund (PPF),Police Pension Fund (PPF),,Police Pension Fund (NYCPPF),NYC Police Pension Fund,Police Pension Fund,Police Pension Fund,,New York City Police Pension Fund (PPF),"Police Pension Fund, New York City (PPF)",Kevin,Holloran,police pension fund,REC_000180,REC_000139,Executive Director,https://www.nyc.gov/content/nycppf/pages/,Police Pension Fund (PPF),REC_000405,Police Pension Fund,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,primary care development corporation,,,,,,REC_000311,Primary Care Development Corporation,ops
Procurement Policy Board,Procurement Policy Board,Active,"Advisory, Oversight, or Regulatory Body","The Procurement Policy Board (PPB) is authorized to promulgate rules governing the procurement of goods, services, and construction by the City of New York under Chapter 13 of the Charter of the City of New York.",https://www.nyc.gov/site/mocs/regulations/ppb.page,,Mayor's Office and Office of the Comptroller,New York City Charter,"Chapter 13, Section 311",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-1355,"There shall be a procurement policy board consisting of five members, three of whom shall be appointed by the mayor and two of whom shall be appointed by the comptroller. Each member shall serve at the pleasure of the appointing official. Members shall have demonstrated sufficient business or professional experience to discharge the functions of the board. At least one member appointed by the mayor and one member appointed by the comptroller shall not hold any other public office or public employment. The remaining members shall not be prohibited from holding any other public office or employment provided that no member may have substantial authority for the procurement of goods, services or construction pursuant to this chapter. The mayor shall designate the chair.",,,PPB,,,Guillermo Chacón,Chair,,,1989.0,,procurement-policy-board,2024-07-29,,,Procurement Policy Board (PPB),Procurement Policy Board (PPB),,,,Procurement Policy Board,,,Procurement Policy Board (PPB),Procurement Policy Board (PPB),Guillermo,Chacón,procurement policy board,REC_000225,REC_000142,Former Chair ,https://www.nyc.gov/site/mocs/regulations/ppb.page,Procurement Policy Board (PPB),REC_000314,Procurement Policy Board,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,property tax debt resolution task force,,,,,,REC_000318,Property Tax Debt Resolution Task Force,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prospect park alliance,,,,,,REC_000316,Prospect Park Alliance,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,public administrator bronx county,,REC_000144,Public Administrator,https://www.nyc.gov/site/bronxpa/index.page,Public Administrator Bronx County (BCPA),REC_000385,Public Administrator Bronx County,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,public advocate,,REC_000149,Public Advocate ,https://advocate.nyc.gov/,Public Advocate (PUB ADV),REC_000406,Public Advocate,ops
Public Design Commission,Public Design Commission,Active,"Advisory, Oversight, or Regulatory Body","Established in 1898 as the Art Commission, New York City’s design review agency was renamed the Design Commission in July 2008 to better reflect its mission. The Design Commission reviews permanent works of art, architecture and landscape architecture proposed on or over City-owned property. The Commission also acts as caretaker and curator of the City’s public art collection and maintains an extensive archive documenting the history of New York City’s public works.",http://www.nyc.gov/designcommission,,"Deputy Mayor for Housing, Economic Development and Workforce",New York City Charter,"Chapter 37, Section 851",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-2603,"There shall be an art commission the members of which shall be the mayor, who may appoint a person to represent him and replace such representative at his pleasure, the president of the Metropolitan Museum of Art, the president of the New York Public Library (Astor, Lenox and Tilden foundations), the president of the Brooklyn Museum, one painter, one sculptor, one architect, and one landscape architect, all of whom shall be residents of the city, and three other residents of the city no one of whom shall be a painter, sculptor, architect, landscape architect or active member of any other profession in the fine arts.",Art Commission,Art Commission,PDC,,,Sreoshy Banerjea,Executive Director,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Public+Design+Commission+%28PDC%29,"The Art Commission was renamed the Public Design Commission by Executive Order 119 for the year 2008, except for court documents, contracts, and any other situation where the name “Art Commission” is legally required.",1898.0,,public-design-commission,2024-07-29,,,Public Design Commission,Public Design Commission,Public Design Commission (PDC),Public Design Commission (PDC),Public Design Commission,Public Design Commission,,,Public Design Commission (PDC),Public Design Commission (PDC),Sreoshy,Banerjea,public design commission,REC_000228,REC_000150,Executive Director,https://www.nyc.gov/site/designcommission/index.page,Public Design Commission,REC_000312,Public Design Commission,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,public housing preservation trust,,,,,,REC_000295,New York City Public Housing Preservation Trust,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,public realm improvement fund governing group inc,,,,,,REC_000315,Public Realm Improvement Fund Governing Group Inc,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,queens borough public library board trustees,,,,,,REC_000321,Queens Borough Public Library Board of Trustees,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,queens county public administrator,,,,,,REC_000407,Queens County Public Administrator,ops
Queens Public Library,Queens Public Library,Active,Non-Governmental Organization,"The Queens Library provides an online catalog, activities for kids and teens, online research, and an events calendar in a variety of languages.",http://www.queenslibrary.org/,,,New York State Law,,,,,,QL,,39.0,Dennis M. Walcott,President and CEO,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Queens+Library+%28QBPL%29,,1896.0,,queens-public-library,2024-07-29,,,"Library, Queens Public (QL)","Library, Queens Public (QL)",Queens Library (QBPL),Queens Library (QPL),,Queens Public Library,Queens Public Library,Queens Borough Public Library,Queens Public Library (QL),Queens Public Library (QL),Dennis,Walcott,queens public library,REC_000229,,,,,REC_000408,Queens Public Library,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,racial justice charter revision commission,,,,,,REC_000331,Racial Justice Charter Revision Commission,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,racial justice commission,,,,,,REC_000330,Racial Justice Commission,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,randall island park alliance,,,,,,REC_000324,Randall's Island Park Alliance,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,real estate advisory board,,,,,,REC_000325,Real Estate Advisory Board,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rem foreclosure board,,,,,,REC_000251,In Rem Foreclosure Board,ops
Rent Guidelines Board,Rent Guidelines Board,Active,"Advisory, Oversight, or Regulatory Body",The Rent Guidelines Board provides information on renewal-lease guidelines for rent stabilized apartments in New York City.,https://rentguidelinesboard.cityofnewyork.us/,,Independent,New York State Law,"Chapter 1974, Section 4",https://www.nysenate.gov/legislation/laws/ETP/4,"Establishment of rent guidelines boards; duties. a. In each county wherein any city having a population of less than one million or any town or village has determined the existence of an emergency pursuant to section three of this act, there shall be created a rent guidelines board to consist of nine members appointed by the commissioner of housing and community renewal upon recommendation of the county legislature, except that a rent guidelines board created subsequent to the effective date of the chapter of the laws of two thousand nineteen that amended this section shall consist of nine members appointed by the commissioner of housing and community renewal upon recommendations of the local legislative body of each city having a population of less than one million or town or village which has determined the existence of an emergency pursuant to section three of this act. Such recommendation shall be made within thirty days after the first local declaration of an emergency in such county; two such members shall be representative of tenants, two shall be representative of owners of property, and five shall be public members each of whom shall have had at least five years experience in either finance, economics or housing. One public member shall be designated by the commissioner to serve as chairman and shall hold no other public office. No member, officer or employee of any municipal rent regulation agency or the state division of housing and community renewal and no person who owns or manages real estate covered by this law or who is an officer of any owner or tenant organization shall serve on a rent guidelines board. One public member, one member representative of tenants and one member representative of owners shall serve for a term ending two years from January first next succeeding the date of their appointment; one public member, one member representative of tenants and one member representative of owners shall serve for terms ending three years from the January first next succeeding the date of their appointment and three public members shall serve for terms ending four years from January first next succeeding the dates of their appointment. Thereafter, all members shall serve for terms of four years each. Members shall continue in office until their successors have been appointed and qualified. The commissioner shall fill any vacancy which may occur by reason of death, resignation or otherwise in a manner consistent with the original appointment. A member may be removed by the commissioner for cause, but not without an opportunity to be heard in person or by counsel, in his defense, upon not less than ten days notice. Compensation for the members of the board shall be at the rate of one hundred dollars per day, for no more than twenty days a year, except that the chairman shall be compensated at the rate of one hundred twenty-five dollars a day for no more than thirty days a year. The board shall be provided staff assistance by the division of housing and community renewal. The compensation of such members and the costs of staff assistance shall be paid by the division of housing and community renewal which shall be reimbursed in the manner prescribed in section four of this act. The local legislative body of each city having a population of less than one million and each town and village in which an emergency has been determined to exist as herein provided shall be authorized to designate one person who shall be representative of tenants and one person who shall be representative of owners of property to serve at its pleasure and without compensation to advise and assist the county rent guidelines board in matters affecting the adjustment of rents for housing accommodations in such city, town or village as the case may be.",,,RGB,,,Andrew McLaughlin,Executive Director,,,1969.0,,rent-guidelines-board,2024-07-29,,,Rent Guidelines Board (RGB),Rent Guidelines Board (RGB),,Rent Guidelines Board (RGB),Rent Guidelines Board,Rent Guidelines Board,Rent Guidelines Board,,Rent Guidelines Board (RGB),Rent Guidelines Board (RGB),Andrew,McLaughlin,rent guidelines board,REC_000230,REC_000153,Executive Director,https://rentguidelinesboard.cityofnewyork.us/,Rent Guidelines Board (RGB),REC_000326,Rent Guidelines Board,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rental horse advisory board,,,,,,REC_000327,Rental Horse Advisory Board,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,residential mortgage insurance corporation,,,,,,REC_000332,Residential Mortgage Insurance Corporation,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,retirement savings board,,,,,,REC_000333,Retirement Savings Board,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,richmond county public administrator,,,,,,REC_000409,Richmond County Public Administrator,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rikers island advisory committee,,,,,,REC_000328,Rikers Island Advisory Committee,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,roosevelt island operating corporation,,,,,,REC_000329,Roosevelt Island Operating Corporation,ops
Sales Tax Asset Receivable Corporation,Sales Tax Asset Receivable Corporation,Active,Authority or Public Benefit Corporation,The Sales Tax Asset Receivable Corporation is a local development corporation created in 2004 by the City of New York to issue bonds to provide for the payment of the outstanding bonds of the Municipal Assistance Corporation of the City of New York and the outstanding bonds of the City held by MAC.,https://www1.nyc.gov/site/starcorp/index.page,,,New York State Law,,,,,,STAR,,,David Womack,President,,,2004.0,,sales-tax-asset-receivable-corporation,2024-07-29,,,Sales Tax Asset Receivable Corporation (STAR),Sales Tax Asset Receivable Corporation (STAR),,,,,,,Sales Tax Asset Receivable Corporation (STAR),Sales Tax Asset Receivable Corporation (STAR),David,Womack,sales tax asset receivable corporation,REC_000231,REC_000154,President ,https://www.nyc.gov/site/starcorp/index.page,Sales Tax Asset Receivable Corporation (STAR),REC_000410,Sales Tax Asset Receivable Corporation,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,school bus umbrella services inc,,,,,,REC_000298,New York City School Bus Umbrella Services Inc,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,school construction authority board trustees,,,,,,REC_000339,School Construction Authority- Board of Trustees,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,school support services,,,,,,REC_000299,New York City School Support Services,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,senior advisory council,,,,,,REC_000336,Senior Advisory Council,ops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sexual health education task force,,,,,,REC_000341,Sexual Health Education Task Force,ops
