Name,Name - Preferred,NYC Administrative Organization Type,Agency Operational Status,Parent Organization,Authorizing Authority,Legal Citation,Legal Citation URL,Legal Citation Text,Additional Citation,Additional Citation URL
racial equity commission on,"Racial Equity, Commission on","Advisory, Oversight, or Regulatory Body",Active,,New York City Charter,"Chapter 78, Section 3404",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-6480,"There shall be established a commission on racial equity, the purpose of which is to enable community members with equity expertise or lived experience relevant to the goal of equity to propose priorities for racial equity in city decision-making and policy and assess performance towards those priorities.",,
pay equity cabinet,Pay Equity Cabinet,Mayoral Office,Active,Mayor's Office,Mayoral Executive Order,"Executive Order 84, 2021",https://a860-gpp.nyc.gov/concern/nyc_government_publications/jm214s65d?locale=en,The Mayor of New York City establishes within the Office of the Mayor a Pay Equity Cabinet which shall conduct an annual analysis of pay and employment equity in public employment.,,
police department,Police Department,Mayoral Agency,Active,Mayor's Office,New York City Charter,"Chapter 18, Section 431",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-1617,"There shall be a police department the head of which shall be the police commissioner who shall be appointed by the mayor and shall, unless sooner removed, hold office for a term of five years.",,
racial justice commission,Racial Justice Commission,"Advisory, Oversight, or Regulatory Body",Probably Defunct,,,,,,,
scheduling and executive operations,Scheduling and Executive Operations,,Unable to find citation,,,,,,,
school construction authority,School Construction Authority,Authority or Public Benefit Corporation,Active,,New York State Law,,,,,
special commissioner of investigation,Special Commissioner of Investigation,,Duplicate,,,,,,,
state legislative affairs,Mayor's Office of State Legislative Affairs,Division,Active,Mayoral Executive Order,Mayoral Executive Order,https://a860-gpp.nyc.gov/concern/nyc_government_publications/pc289n032?locale=en,"there shall be six Deputy Mayors, a Chief Housing Officer, Chief Technology Officer, Chief Efficiency Officer, Chief of Staff, Chief Advisor, Chief Counsel to the Mayor, Dir. of Intergovernmental; etc.",,,
talent and workforce development mayors office of,Mayor's Office of Talent and Workforce Development,Mayoral Office,Active,Mayor's Office,Mayoral Executive Order,"Executive Order 22, 2022",https://a860-gpp.nyc.gov/concern/nyc_government_publications/sx61dq02c?locale=en,"Executive Order No. 22, dated August 15, 2022, relates to The Office of Talent and Workforce Developments' new mission and structure to take effect immediately.",,
rent guidelines board,Rent Guidelines Board,"Advisory, Oversight, or Regulatory Body",Active,,New York State Law,"Chapter 1974, Section 4",https://www.nysenate.gov/legislation/laws/ETP/4,"Establishment of rent guidelines boards; duties. a. In each county wherein any city having a population of less than one million or any town or village has determined the existence of an emergency pursuant to section three of this act, there shall be created a rent guidelines board to consist of nine members appointed by the commissioner of housing and community renewal upon recommendation of the county legislature, except that a rent guidelines board created subsequent to the effective date of the chapter of the laws of two thousand nineteen that amended this section shall consist of nine members appointed by the commissioner of housing and community renewal upon recommendations of the local legislative body of each city having a population of less than one million or town or village which has determined the existence of an emergency pursuant to section three of this act. Such recommendation shall be made within thirty days after the first local declaration of an emergency in such county; two such members shall be representative of tenants, two shall be representative of owners of property, and five shall be public members each of whom shall have had at least five years experience in either finance, economics or housing. One public member shall be designated by the commissioner to serve as chairman and shall hold no other public office. No member, officer or employee of any municipal rent regulation agency or the state division of housing and community renewal and no person who owns or manages real estate covered by this law or who is an officer of any owner or tenant organization shall serve on a rent guidelines board. One public member, one member representative of tenants and one member representative of owners shall serve for a term ending two years from January first next succeeding the date of their appointment; one public member, one member representative of tenants and one member representative of owners shall serve for terms ending three years from the January first next succeeding the date of their appointment and three public members shall serve for terms ending four years from January first next succeeding the dates of their appointment. Thereafter, all members shall serve for terms of four years each. Members shall continue in office until their successors have been appointed and qualified. The commissioner shall fill any vacancy which may occur by reason of death, resignation or otherwise in a manner consistent with the original appointment. A member may be removed by the commissioner for cause, but not without an opportunity to be heard in person or by counsel, in his defense, upon not less than ten days notice. Compensation for the members of the board shall be at the rate of one hundred dollars per day, for no more than twenty days a year, except that the chairman shall be compensated at the rate of one hundred twenty-five dollars a day for no more than thirty days a year. The board shall be provided staff assistance by the division of housing and community renewal. The compensation of such members and the costs of staff assistance shall be paid by the division of housing and community renewal which shall be reimbursed in the manner prescribed in section four of this act. The local legislative body of each city having a population of less than one million and each town and village in which an emergency has been determined to exist as herein provided shall be authorized to designate one person who shall be representative of tenants and one person who shall be representative of owners of property to serve at its pleasure and without compensation to advise and assist the county rent guidelines board in matters affecting the adjustment of rents for housing accommodations in such city, town or village as the case may be.",,
sales tax asset receivable corporation,Sales Tax Asset Receivable Corporation,Authority or Public Benefit Corporation,Active,,New York State Law,,,,,
the special commissioner of investigation for the new york city school district,Special Commissioner of Investigation for the New York City School District,"Advisory, Oversight, or Regulatory Body",Active,Department of Education,New York City Charter,"Chapter 20, Section 526-a",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-1869,"The purpose and intent of this section is to ensure that all suspected crimes committed by an adult against a student or another adult, and all allegations of sex-offenses or other violent crimes committed by a student against another student, including any bias-related violent crime committed by any adult or student, in a public school, is reported to the police department and the special commissioner of investigation for the New York city school district. It is not the purpose and intent of this section to mandate the reporting of incidents amounting to ordinary misbehavior and ""name calling"" among students.",,
the village alliance,The Village Alliance,Non-Governmental Organization,Active,,New York State Law,,,,,
taskforce on racial inclusion equity,Taskforce on Racial Inclusion & Equity,"Advisory, Oversight, or Regulatory Body",Active,,New York City Charter,"Chapter 78, Section 3402",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-6482,There shall be a taskforce on racial inclusion and equity to function as an interagency coordination and leadership body for citywide racial equity policy development and implementation. The taskforce shall be located within the office of racial equity.,,
transit authority,Transit Authority,Authority or Public Benefit Corporation,Active,,New York State Law,,,,,
transitional finance authority,"Transitional Finance Authority, NYC",Authority or Public Benefit Corporation,Active,,New York State Law,,,,,
tsasc inc,"TSASC, Inc.",Authority or Public Benefit Corporation,Active,,New York State Law,,,,,
union square partnership,Union Square Partnership,Non-Governmental Organization,Active,,New York State Law,,,,,
united nations development corporation,United Nations Development Corporation,Authority or Public Benefit Corporation,Active,,New York State Law,,,,,
unity project,Unity Project,Non-Governmental Organization,Active,,New York State Law,,,,,
water supply,WATER SUPPLY,,Delete,,,,,,,
teachers retirement system,Teacher's Retirement System,Fiduciary Fund,Active,,New York State,,,,,
city legislative affairs,Mayor's Office of City Legislative Affairs,Division,Active,Mayor's Office of Intergovernmental Affairs,Mayoral Executive Order,"Executive Order 29, 2023",https://a860-gpp.nyc.gov/concern/nyc_government_publications/pc289n032?locale=en,"there shall be six Deputy Mayors, a Chief Housing Officer, Chief Technology Officer, Chief Efficiency Officer, Chief of Staff, Chief Advisor, Chief Counsel to the Mayor, Dir. of Intergovernmental; etc.",,
city university construction fund,City University Construction Fund,Authority or Public Benefit Corporation,Active,,New York State Law,,,,,
city university of new york,City University of New York,Non-Mayoral Agency,Active,,New York State Law,"Chapter 16, Article 125, Section 6203",https://www.nysenate.gov/legislation/laws/EDN/6203,"City university of New York. The separate and distinct body corporate designated as the board of higher education in the city of New York shall be continued and shall hereinafter be known as the city university of New York. The city university shall have the powers and privileges of colleges and shall be subject to the visitation of the regents of the university of the state of New York. The city university shall have the care, custody, control, and management of the lands, grounds, buildings, facilities and equipment used for the purposes of the educational units of the city university and it shall have the power to protect, preserve and improve the same. Each existing unit of the city university shall be given an appropriate and distinctive designation.",,
city university of new york board of trustees,City University of New York - Board of Trustees,Non-Mayoral Agency,Active,,New York State Law,"Chapter 16, Article 125, Section 6204",,The board of trustees shall govern and administer the city university. The control of the educational work of the city university shall rest solely in the board of trustees which shall govern and administer all educational units of the city university. 2. Structure of the board of trustees: (a) The board of trustees shall consist of seventeen trustees. Ten of the trustees shall be appointed by the governor with the advice and consent of the senate. Five of the trustees shall be appointed by the mayor of the city of New York with the advice and consent of the senate. One ex-officio trustee shall be the chairperson of the university student senate. One ex-officio non-voting trustee shall be the chairperson of the university faculty senate.,,
citywide event coordination and management office of,Mayor's Office of Citywide Event Coordination and Management,Mayoral Office,Active,Mayor's Office,Mayoral Executive Order,"Executive Order 100, 2007",https://a860-gpp.nyc.gov/concern/nyc_government_publications/zg64tm07w?locale=en,This Executive Order by the Mayor announces the establishment of the position of Coordinator of Citywide Special Events and Permitted Activities.,,
times square alliance,Times Square Alliance,Non-Governmental Organization,Active,,New York State Law,,,,,
young mens initiative,Young Men's Initiative,Mayoral Office,Active,Mayor's Office,Mayoral Executive Order,"Executive Order 72, 2021",https://a860-gpp.nyc.gov/concern/nyc_government_publications/3j333420r?locale=en,"ESTABLISHMENT OF THE NEW YORK CITY YOUNG MEN’S INITIATIVE WHEREAS, the historical and continuous systemic inequality faced by young people of color across New York City has impacted their life outcomes, across education, health, workforce and justice system involvement. WHEREAS, the City of New York",,
community affairs unit,Mayor's Community Affairs Unit,Mayoral Office,Active,Office of Engagement,Mayoral Executive Order,"Executive Order 105, 2007",https://a860-gpp.nyc.gov/concern/nyc_government_publications/zp38wc87c?locale=en,This Executive Order by the Mayor announces the changing of the name of the Mayor's Community Assistance Unit to the Mayor's Community Affairs Unit.,,
community hiring office of,"Community Hiring, Office of",Mayoral Office,Active,Mayor's Office of Talent and Workforce Development,,"Chapter 79, Section 3502",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-7050,"The mayor shall establish an office of community hiring and workforce development. Such office may be established as a separate office or within any department the head of which is appointed by the mayor. The office of community hiring and workforce development shall be headed by a director who shall be appointed by the mayor or head of such department. The director shall, as the director deems appropriate, adopt rules consistent with the purpose of this chapter relating to employment goals on transactions, including rules:",,
public administrator,Public Administrator,Non-Mayoral Agency,Active,,New York State Law,"Chapter 59-A, Article 11, Section 1103",https://www.nysenate.gov/legislation/laws/SCP/1103,Deputy public administrator 1. The deputy public administrators of the counties of New York city shall be appointed by the surrogate court judge of the county in which they shall serve. 2. The deputy public administrators of any county where the office exists or may be established shall perform the services and shall possess the powers as may be prescribed for and vested in him by the respective public administrators and shall possess every power and perform every duty belonging to the office of public administrator in the circumstances specified by section nine of the public officers law. 3. The deputy public administrator of any county where the office exists or may be established shall continue in office until removed by the surrogate court judge or judges of that county. 4. Each appointment shall be in writing and shall be filed in the office of the county clerk in the county for which the appointment is made.,,
